episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,1688,0.7033,1.0,11.37,24,0.0,0.125,201,
2,1808,0.6822,1.0,12.39,28,0.0,0.0714,215,
3,2776,0.512,1.0,9.8,34,0.0,0.0882,329,
4,2792,0.5092,1.0,13.18,46,0.0,0.1304,333,
5,2816,0.505,1.0,14.49,51,0.0,0.1961,337,
6,3504,0.8805,1.0,23.26,20,0.0,0.05,430,
7,3632,0.3616,1.0,12.11,55,0.0,0.0727,449,
8,3688,0.3517,1.0,13.45,62,0.0,0.0806,460,
9,3712,0.3475,1.0,11.42,53,0.0,0.0566,464,
10,3864,0.813,1.0,17.16,23,0.0,0.0,493,
11,4240,0.5739,1.0,14.8,45,0.0,0.1111,551,
12,4264,0.9044,1.0,21.74,15,0.0,0.3333,553,
13,4536,0.8523,1.0,10.38,11,0.0,0.3636,590,
14,4736,0.8073,1.0,19.57,27,0.0,0.3333,625,
15,4984,0.6133,1.0,13.77,38,0.0,0.1842,656,
16,5408,0.8003,1.0,13.99,20,0.0,0.45,726,
17,5472,0.872,1.0,20.65,19,0.0,0.2632,739,
18,5648,0.6878,1.0,15.25,34,0.0,0.3824,779,
19,5688,0.2983,1.0,12.2,61,0.0,0.1803,787,
20,5696,0.8762,1.0,17.98,16,0.0,0.375,789,
21,5824,0.723,1.0,16.16,32,0.0,0.2188,812,
22,6296,0.692,1.0,19.55,43,0.0,0.3256,892,
23,6408,0.8369,1.0,18.8,22,0.0,0.1364,909,
24,6576,0.4614,1.0,17.45,67,0.0,0.1343,949,
25,6600,0.8425,1.0,17.7,20,0.0,0.15,953,
26,6616,0.8383,1.0,18.97,22,0.0,0.0,957,
27,6656,0.782,1.0,15.38,24,0.0,0.1667,965,
28,6760,0.9395,1.0,18.18,8,0.0,0.0,993,
29,6888,0.8144,1.0,22.56,30,0.0,0.1,1025,
30,7008,0.8762,1.0,17.98,16,0.0,0.0,1053,
31,7176,0.8959,1.0,17.33,13,0.0,0.0,1090,
32,7320,0.9255,1.0,27.78,15,0.0,0.0,1129,
33,7320,0.8748,1.0,28.89,26,0.0,0.0,1129,
34,7344,0.8805,1.0,30.23,26,0.0,0.0,1137,
35,7368,0.8945,1.0,30.26,23,0.0,0.0,1147,
36,7376,0.6977,1.0,17.59,38,0.0,0.1053,1150,
37,7696,0.8805,1.0,24.42,21,0.0,0.0,1222,
38,7752,0.9002,1.0,23.61,17,0.0,0.0,1233,
39,7904,0.9086,1.0,22.73,15,0.0,0.0,1279,
40,7992,0.8833,1.0,22.62,19,0.0,0.0,1295,
41,8144,0.865,1.0,26.8,26,0.0,0.0,1338,
42,8152,0.7314,1.0,24.48,47,0.0,0.0,1339,
43,8176,0.8509,1.0,26.17,28,0.0,0.0,1346,
44,8312,0.903,1.0,27.14,19,0.0,0.0,1377,
45,8328,0.9269,1.0,30.19,16,0.0,0.0,1382,
46,8480,0.9423,1.0,35.71,15,0.0,0.0,1426,
47,8544,0.9044,1.0,33.33,23,0.0,0.0,1447,
48,8624,0.9227,1.0,25.0,14,0.0,0.0,1476,
49,8664,0.9691,1.0,34.78,8,0.0,0.125,1490,
50,8704,0.9325,1.0,30.61,15,0.0,0.0667,1500,
51,8712,0.7609,1.0,23.98,41,0.0,0.0488,1503,
52,8752,0.8959,1.0,24.0,18,0.0,0.0,1519,
53,8880,0.9423,1.0,42.86,18,0.0,0.0,1565,
54,8912,0.8987,1.0,26.03,19,0.0,0.0526,1576,
55,8976,0.9466,1.0,38.46,15,0.0,0.0667,1596,
56,9032,0.9452,1.0,45.0,18,0.0,0.0,1613,
57,9112,0.7525,1.0,29.94,53,0.0,0.0,1641,
58,9160,0.9072,1.0,35.82,24,0.0,0.0417,1657,
59,9224,0.91,1.0,26.15,17,0.0,0.0588,1675,
60,9248,0.9367,1.0,26.09,12,0.0,0.0,1684,
61,9272,0.9381,1.0,31.11,14,0.0,0.0,1689,
62,9320,0.9016,1.0,30.99,22,0.0,0.0455,1707,
63,9432,0.9733,1.0,70.0,14,0.0,0.0,1760,
64,9448,0.9663,1.0,44.0,11,0.0,0.0,1765,
65,9504,0.9184,1.0,30.51,18,0.0,0.0,1781,
66,9520,0.9494,1.0,37.84,14,0.0,0.0,1786,
67,9560,0.8987,1.0,34.25,25,0.0,0.08,1801,
68,9608,0.9142,1.0,32.26,20,0.0,0.05,1814,
69,9640,0.917,1.0,33.33,20,0.0,0.0,1823,
70,9664,0.9409,1.0,39.53,17,0.0,0.0,1835,
71,9752,0.9452,1.0,27.5,11,0.0,0.0,1862,
72,9848,0.9592,1.0,43.33,13,0.0,0.0,1896,
73,9880,0.9452,1.0,37.5,15,0.0,0.0,1908,
74,9920,0.9184,1.0,23.73,14,0.0,0.0,1923,
75,9992,0.9592,1.0,46.67,14,0.0,0.0,1947,
76,10008,0.9367,1.0,36.96,17,0.0,0.0,1956,
77,10112,0.9677,1.0,50.0,12,0.0,0.0,1998,
78,10136,0.8903,1.0,31.65,25,0.0,0.0,2004,
79,10216,0.8791,1.0,33.33,29,0.0,0.0,2026,
80,10280,0.9255,1.0,37.04,20,0.0,0.0,2054,
81,10312,0.9255,1.0,42.59,23,0.0,0.0,2070,
82,10312,0.9452,1.0,47.5,19,0.0,0.0,2070,
83,10328,0.8847,1.0,31.33,26,0.0,0.0,2079,
84,10472,0.9198,1.0,32.76,19,0.0,0.0,2126,
85,10520,0.948,1.0,39.47,15,0.0,0.0,2147,
86,10520,0.9592,1.0,46.67,14,0.0,0.0,2147,
87,10568,0.9213,1.0,33.33,19,0.0,0.0,2162,
88,10624,0.9156,1.0,31.15,19,0.0,0.0,2187,
89,10632,0.948,1.0,36.84,14,0.0,0.0,2190,
90,10680,0.9367,1.0,56.52,26,0.0,0.0,2205,
91,10832,0.9466,1.0,43.59,17,0.0,0.0,2265,
92,10856,0.9606,1.0,41.38,12,0.0,0.0,2276,
93,10880,0.9466,1.0,43.59,17,0.0,0.0,2289,
94,10896,0.9269,1.0,35.85,19,0.0,0.0,2296,
95,10896,0.9353,1.0,42.55,20,0.0,0.0,2296,
96,11016,0.9339,1.0,37.5,18,0.0,0.0,2346,
97,11056,0.8706,1.0,34.41,32,0.0,0.0,2365,
98,11088,0.9677,1.0,45.83,11,0.0,0.0,2376,
99,11136,0.9522,1.0,37.14,13,0.0,0.0,2397,
100,11160,0.9437,1.0,51.22,21,0.0,0.0,2410,
101,11200,0.948,1.0,34.21,13,0.0,0.0,2425,
102,11312,0.8903,1.0,41.77,33,0.0,0.0,2476,
103,11320,0.9241,1.0,38.18,21,0.0,0.0,2480,
104,11336,0.9452,1.0,45.0,18,0.0,0.0,2491,
105,11352,0.9494,1.0,59.46,22,0.0,0.0,2498,
106,11416,0.9522,1.0,48.57,17,0.0,0.0,2530,
107,11432,0.9409,1.0,39.53,17,0.0,0.0,2535,
108,11528,0.9677,1.0,58.33,14,0.0,0.0,2581,
109,11544,0.9409,1.0,39.53,17,0.0,0.0,2588,
110,11568,0.9297,1.0,52.94,27,0.0,0.0,2604,
111,11592,0.9522,1.0,45.71,16,0.0,0.0,2616,
112,11632,0.9634,1.0,48.15,13,0.0,0.0,2643,
113,11648,0.9634,1.0,62.96,17,0.0,0.0,2653,
114,11664,0.9466,1.0,38.46,15,0.0,0.0,2663,
115,11712,0.9691,1.0,69.57,16,0.0,0.0,2686,
116,11776,0.9606,1.0,65.52,19,0.0,0.0,2718,
117,11808,0.9592,1.0,56.67,17,0.0,0.0,2736,
118,11832,0.9592,1.0,53.33,16,0.0,0.0,2751,
119,11864,0.9634,1.0,62.96,17,0.0,0.0,2767,
120,11864,0.9058,1.0,60.29,41,0.0,0.0,2767,
121,11928,0.9747,1.0,68.42,13,0.0,0.0,2796,
122,11992,0.9522,1.0,60.0,21,0.0,0.0,2834,
123,11992,0.9733,1.0,65.0,13,0.0,0.0,2834,
124,12016,0.9395,1.0,45.45,20,0.0,0.0,2848,
125,12024,0.9325,1.0,32.65,16,0.0,0.0,2852,
126,12048,0.9691,1.0,52.17,12,0.0,0.0,2863,
127,12056,0.9578,1.0,54.84,17,0.0,0.0,2867,
128,12160,0.9494,1.0,48.65,18,0.0,0.0,2916,
129,12200,0.9536,1.0,44.12,15,0.0,0.0,2935,
130,12224,0.9606,1.0,55.17,16,0.0,0.0,2948,
131,12264,0.9578,1.0,41.94,13,0.0,0.0,2969,
132,12264,0.9648,1.0,50.0,13,0.0,0.0,2969,
133,12304,0.9466,1.0,43.59,17,0.0,0.0,2983,
134,12336,0.9705,1.0,59.09,13,0.0,0.0,3003,
135,12352,0.9437,1.0,51.22,21,0.0,0.0,3013,
136,12376,0.9437,1.0,39.02,16,0.0,0.0,3028,
137,12416,0.9747,1.0,68.42,13,0.0,0.0,3055,
138,12448,0.9578,1.0,67.74,21,0.0,0.0,3078,
139,12448,0.9761,1.0,72.22,13,0.0,0.0,3078,
140,12472,0.9578,1.0,51.61,16,0.0,0.0,3092,
141,12536,0.9536,1.0,58.82,20,0.0,0.0,3130,
142,12552,0.9634,1.0,51.85,14,0.0,0.0,3142,
143,12584,0.9606,1.0,65.52,19,0.0,0.0,3159,
144,12600,0.962,1.0,57.14,16,0.0,0.0,3167,
145,12616,0.9761,1.0,50.0,9,0.0,0.0,3177,
146,12616,0.9663,1.0,64.0,16,0.0,0.0,3177,
147,12616,0.9719,1.0,66.67,14,0.0,0.0,3177,
148,12680,0.9606,1.0,55.17,16,0.0,0.0,3206,
149,12792,0.9592,1.0,46.67,14,0.0,0.0,3267,
