episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,1768,1.4392,1.0,11.31,25,0.0,0.16,217,
2,1880,1.3495,1.0,13.62,32,0.0,0.1875,231,
3,2136,1.2545,1.0,13.86,37,0.0,0.0541,272,
4,2160,1.3203,1.0,11.11,30,0.0,0.1333,277,
5,2416,1.1053,1.0,15.56,47,0.0,0.1702,307,
6,2976,0.9569,1.0,13.98,52,0.0,0.1346,389,
7,3248,1.6152,1.0,23.08,24,0.0,0.0,437,
8,3264,0.9162,1.0,12.5,51,0.0,0.1176,440,
9,3440,1.4764,1.0,18.75,30,0.0,0.0,470,
10,3656,1.2992,1.0,17.57,39,0.0,0.1026,514,
11,3872,0.7494,1.0,11.78,57,0.0,0.1228,560,
12,4072,1.5487,1.0,18.98,26,0.0,0.0,604,
13,4224,1.2144,1.0,16.09,42,0.0,0.0476,630,
14,4248,1.5156,1.0,24.8,31,0.0,0.0,634,
15,4248,1.6184,1.0,17.07,21,0.0,0.0476,634,
16,4352,1.767,1.0,25.0,15,0.0,0.0667,657,
17,4552,1.022,1.0,14.08,49,0.0,0.0204,694,
18,4608,1.4361,1.0,24.66,36,0.0,0.0,709,
19,4864,1.8764,1.0,25.0,8,0.0,0.125,758,
20,4880,1.7886,1.0,18.18,12,0.0,0.0,764,
21,5064,1.7514,1.0,25.0,16,0.0,0.0,794,
22,5168,1.6397,1.0,17.39,20,0.0,0.1,818,
23,5336,1.4459,1.0,25.9,36,0.0,0.3056,867,
24,5448,1.2664,1.0,18.75,42,0.0,0.119,889,
25,5568,1.6177,1.0,29.55,26,0.0,0.4231,923,
26,5592,1.7062,1.0,19.1,17,0.0,0.3529,931,
27,5608,1.3314,1.0,20.83,40,0.0,0.125,939,
28,5664,1.7642,1.0,24.19,15,0.0,0.4667,954,
29,5672,1.7245,1.0,22.37,17,0.0,0.4706,955,
30,5744,1.3684,1.0,19.79,37,0.0,0.2432,976,
31,5880,1.7455,1.0,33.33,18,0.0,0.4444,1012,
32,6088,1.7142,1.0,32.26,20,0.0,0.3,1064,
33,6168,1.5452,1.0,29.81,31,0.0,0.4194,1093,
34,6272,1.6947,1.0,22.89,19,0.0,0.5263,1126,
