episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,928,0.6969,1.0,12.07,14,0.0,0.0,96,
2,1432,0.5383,1.0,11.73,21,0.0,0.0,155,
3,2200,0.5978,1.0,11.32,18,0.0,0.0556,241,
4,2328,0.2408,1.0,12.03,35,0.0,0.0,254,
5,2568,0.2486,1.0,9.35,30,0.0,0.0333,278,
6,2664,0.6048,1.0,11.69,18,0.0,0.1111,293,
7,3488,-0.1831,0.0,13.07,57,0.0,0.1404,415,
8,3984,-0.4203,0.0,14.46,72,0.0,0.125,478,
9,4048,0.4891,1.0,9.77,21,0.0,0.2381,482,
10,4200,0.4545,1.0,12.75,26,0.0,0.0769,505,
11,4400,0.3262,1.0,17.05,37,0.0,0.027,542,
12,5120,-0.77,0.0,12.03,77,0.0,0.1039,661,
13,5120,0.573,1.0,17.91,24,0.0,0.0,661,
14,5120,-0.89,0.0,13.91,89,0.0,0.1124,661,
15,5408,0.6342,1.0,15.08,19,0.0,0.1053,715,
16,5632,0.3217,1.0,18.93,39,0.0,0.0,754,
17,5776,0.7461,1.0,17.07,14,0.0,0.0,786,
18,5840,0.3531,1.0,17.56,36,0.0,0.1111,798,
19,5856,0.1952,1.0,13.18,39,0.0,0.1026,799,
20,5952,0.6152,1.0,23.08,24,0.0,0.0833,817,
21,5968,-0.2809,0.0,13.16,62,0.0,0.1129,821,
22,6008,0.8353,1.0,21.28,10,0.0,0.1,829,
23,6096,0.7005,1.0,20.93,18,0.0,0.1111,844,
24,6360,0.4734,1.0,20.0,31,0.0,0.0645,904,
25,6480,0.7084,1.0,35.59,21,0.0,0.0952,932,
26,6528,0.6605,1.0,25.58,22,0.0,0.1364,945,
27,6600,0.7628,1.0,23.81,15,0.0,0.0,961,
28,6648,0.6622,1.0,20.2,20,0.0,0.05,974,
29,6680,0.7162,1.0,17.98,16,0.0,0.0625,980,
30,6840,0.5853,1.0,23.42,26,0.0,0.0769,1027,
31,6920,0.5103,1.0,20.28,29,0.0,0.0,1044,
32,6968,0.7841,1.0,25.45,14,0.0,0.0,1056,
33,7040,0.763,1.0,20.0,14,0.0,0.0714,1067,
34,7152,0.7528,1.0,25.4,16,0.0,0.0625,1084,
35,7296,0.6069,1.0,19.66,23,0.0,0.087,1130,
36,7352,0.6633,1.0,26.19,22,0.0,0.1818,1145,
37,7520,0.6319,1.0,29.41,25,0.0,0.08,1182,
38,7576,0.5998,1.0,18.85,23,0.0,0.0,1191,
39,7600,0.6927,1.0,41.07,23,0.0,0.087,1198,
40,7912,0.5781,1.0,24.77,27,0.0,0.0741,1275,
41,8008,0.7855,1.0,25.93,14,0.0,0.0714,1298,
