episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,1200,0.5991,1.0,12.67,19,1.52116,0.3158,151,
2,1992,0.4698,1.0,7.23,18,1.52116,0.1667,194,
3,3088,0.1372,1.0,8.29,32,0.0,0.3125,200,
4,3608,0.0958,1.0,5.99,27,0.0,0.3704,200,
5,5120,-0.25,0.0,3.91,25,0.0,0.2,204,
6,5120,-0.2,0.0,3.12,20,0.0,0.25,204,
7,5120,-0.23,0.0,3.59,23,0.0,0.1304,204,
8,5120,-0.27,0.0,4.22,27,0.0,0.4074,204,
9,6328,-0.08,0.0,1.25,8,0.0,0.5,206,
10,7120,-0.03,0.0,0.47,3,0.0,0.3333,206,
11,8216,-0.05,0.0,0.78,5,1.36673,0.4,212,
12,8736,-0.02,0.0,0.31,2,1.36673,0.5,213,
13,10248,0.0,0.0,0.0,0,0.0,,214,
14,10248,0.0,0.0,0.0,0,0.0,,214,
15,10248,-0.02,0.0,0.31,2,0.0,0.0,214,
16,10248,-0.01,0.0,0.16,1,0.0,1.0,214,
17,11456,-0.01,0.0,0.16,1,0.0,0.0,214,
18,12248,-0.01,0.0,0.16,1,0.0,1.0,214,
19,13344,0.0,0.0,0.0,0,0.0,,214,
20,13864,0.0,0.0,0.0,0,0.0,,214,
21,15376,0.0,0.0,0.0,0,0.0,,216,
22,15376,0.0,0.0,0.0,0,0.0,,216,
23,15376,0.0,0.0,0.0,0,0.0,,216,
24,15376,0.0,0.0,0.0,0,0.0,,216,
25,16584,0.0,0.0,0.0,0,0.0,,216,
26,17376,-0.01,0.0,0.16,1,0.0,1.0,218,
27,18472,0.0,0.0,0.0,0,0.0,,220,
28,18992,-0.03,0.0,0.47,3,0.0,1.0,221,
29,20504,-0.02,0.0,0.31,2,0.0,0.5,225,
30,20504,0.0,0.0,0.0,0,0.0,,225,
31,20504,0.0,0.0,0.0,0,0.0,,225,
32,20504,-0.02,0.0,0.31,2,0.0,1.0,225,
33,21712,0.0,0.0,0.0,0,1.80051,,228,
34,22504,-0.01,0.0,0.16,1,1.80051,0.0,230,
