episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,120,0.865,1.0,13.33,2,0.0,0.0,19,
2,192,0.784,1.0,16.67,4,0.0,0.0,22,
3,256,0.712,1.0,9.38,3,0.0,0.0,30,
4,272,0.694,1.0,17.65,6,0.0,0.0,32,
5,336,0.766,1.0,11.11,3,0.0,0.0,40,
6,352,0.604,1.0,13.64,6,0.0,0.0,40,
7,440,0.505,1.0,16.36,9,0.0,0.0,52,
8,448,0.811,1.0,9.09,2,0.0,0.0,53,
9,464,0.703,1.0,11.76,4,0.0,0.0,55,
10,520,0.415,1.0,16.92,11,0.0,0.0,66,
11,544,0.775,1.0,15.38,4,0.0,0.0,70,
12,688,0.523,1.0,11.11,6,0.0,0.0,85,
13,696,0.622,1.0,9.3,4,0.0,0.0,86,
14,712,0.712,1.0,18.18,6,0.0,0.0,87,
15,752,0.685,1.0,16.67,6,0.0,0.0,94,
16,752,0.946,1.0,42.86,3,0.0,0.0,94,
17,800,0.0,0.0,5.0,5,0.0,0.0,96,
18,912,0.568,1.0,10.2,5,0.0,0.0,106,
19,952,0.784,1.0,12.0,3,0.0,0.0,111,
20,992,0.793,1.0,8.33,2,0.0,0.0,114,
21,1024,0.631,1.0,4.76,2,0.0,0.0,119,
22,1032,0.343,1.0,14.86,11,1.89827,0.0,119,
23,1064,0.838,1.0,21.05,4,1.89827,0.25,125,
24,1120,0.901,1.0,25.0,3,1.89827,0.3333,131,
25,1128,0.811,1.0,18.18,4,1.89827,0.25,132,
26,1352,0.0,0.0,7.92,8,1.89827,0.125,151,
27,1384,0.613,1.0,11.36,5,1.89827,0.4,152,
28,1408,0.694,1.0,8.57,3,1.89827,0.6667,154,
29,1464,0.163,1.0,9.57,9,1.89827,0.2222,161,
30,1472,0.469,1.0,10.0,6,1.89827,0.1667,161,
31,1528,0.847,1.0,11.11,2,1.89827,0.0,167,
32,1552,0.46,1.0,8.2,5,1.89827,0.8,169,
33,1560,0.0,0.0,2.97,3,1.89827,0.3333,169,
34,1600,0.469,1.0,6.67,4,1.89827,0.25,172,
35,1680,0.766,1.0,11.11,3,1.89827,0.0,178,
36,1744,0.703,1.0,8.82,3,1.89827,0.3333,184,
