run_name,exp_name,seed,no_oracle,oracle_accuracy,oracle_cost,oracle_cost_final,total_timesteps,env_id,success_rate,success_std,oracle_usage_pct,oracle_usage_pct_std,queries_per_ep,queries_per_ep_std,n_episodes
20260528_004947__oracle_acc100_cost05_500k__Sokoban-small-v0__seed1,oracle_acc100_cost05_500k,1,False,1.0,0.5,,500000,FixedTarget-Sokoban-v2,0.945,0.22798026230356,95.53166666666667,19.004242143385895,16.075,6.868724408505556,200
20260528_013833__oracle_acc075_cost01_500k__Sokoban-small-v0__seed1,oracle_acc075_cost01_500k,1,False,0.75,0.1,,500000,FixedTarget-Sokoban-v2,0.91,0.2861817604250837,100.0,0.0,24.7,10.699065379742288,200
20260528_005304__oracle_acc050_cost01_500k__Sokoban-small-v0__seed1,oracle_acc050_cost01_500k,1,False,0.5,0.1,,500000,FixedTarget-Sokoban-v2,0.415,0.49272203116970525,100.0,0.0,34.44,14.728082020412568,200
20260528_022559__oracle_acc100_cost01_500k__Sokoban-small-v0__seed1,oracle_acc100_cost01_500k,1,False,1.0,0.1,,500000,FixedTarget-Sokoban-v2,1.0,0.0,100.0,0.0,16.495,6.722348919834495,200
20260528_021455__oracle_acc050_cost08_500k__Sokoban-small-v0__seed1,oracle_acc050_cost08_500k,1,False,0.5,0.8,,500000,FixedTarget-Sokoban-v2,0.015,0.12155245781143219,29.259013450190754,35.47282388084199,10.8,14.753982513206392,200
20260528_000624__oracle_acc025_cost01_500k__Sokoban-small-v0__seed1,oracle_acc025_cost01_500k,1,False,0.25,0.1,,500000,FixedTarget-Sokoban-v2,0.005,0.07053367989832944,48.77636391396516,39.005031829965226,19.98,18.38830062838869,200
20260528_000624__oracle_acc075_cost05_500k__Sokoban-small-v0__seed1,oracle_acc075_cost05_500k,1,False,0.75,0.5,,500000,FixedTarget-Sokoban-v2,0.01,0.09949874371066199,26.92850417408803,29.607497796212403,11.87,13.681852944685527,200
20260528_013346__oracle_acc025_cost08_500k__Sokoban-small-v0__seed1,oracle_acc025_cost08_500k,1,False,0.25,0.8,,500000,FixedTarget-Sokoban-v2,0.0,0.0,10.672123171183275,23.425599023468116,4.475,10.505682985889115,200
20260528_014748__baseline_minigridcnn_500k__Sokoban-small-v0__seed1,baseline_minigridcnn_500k,1,True,1.0,0.0,,500000,FixedTarget-Sokoban-v2,0.0,0.0,0.0,0.0,0.0,0.0,200
20260528_052833__oracle_acc100_cost03_500k__Sokoban-small-v0__seed1,oracle_acc100_cost03_500k,1,False,1.0,0.3,,500000,FixedTarget-Sokoban-v2,1.0,0.0,100.0,0.0,16.455,5.756559302222118,200
20260528_025654__oracle_acc075_cost08_500k__Sokoban-small-v0__seed1,oracle_acc075_cost08_500k,1,False,0.75,0.8,,500000,FixedTarget-Sokoban-v2,0.0,0.0,2.4275,10.685199752461344,1.13,5.270018975297907,200
20260528_033855__oracle_acc100_cost08_500k__Sokoban-small-v0__seed1,oracle_acc100_cost08_500k,1,False,1.0,0.8,,500000,FixedTarget-Sokoban-v2,0.06,0.23748684174075838,21.25190476190476,30.959689096946565,7.97,11.670865434919556,200
20260528_031524__oracle_acc025_cost03_500k__Sokoban-small-v0__seed1,oracle_acc025_cost03_500k,1,False,0.25,0.3,,500000,FixedTarget-Sokoban-v2,0.0,0.0,20.265803521421372,31.149212408877133,8.16,14.041168042581074,200
20260528_044448__oracle_acc075_cost03_500k__Sokoban-small-v0__seed1,oracle_acc075_cost03_500k,1,False,0.75,0.3,,500000,FixedTarget-Sokoban-v2,0.38,0.48538644398046393,58.2632432524909,41.64208765331502,15.47,13.348374432866349,200
20260528_035905__oracle_acc050_cost03_500k__Sokoban-small-v0__seed1,oracle_acc050_cost03_500k,1,False,0.5,0.3,,500000,FixedTarget-Sokoban-v2,0.0,0.0,36.88722574769993,33.919925504751,14.62,15.345214237670325,200
20260528_042103__oracle_acc025_cost1_500k__Sokoban-small-v0__seed1,oracle_acc025_cost1_500k,1,False,0.25,1.0,,500000,FixedTarget-Sokoban-v2,0.0,0.0,2.7816666666666667,10.3205080355141,0.855,4.012975828484393,200
20260528_050151__oracle_acc050_cost1_500k__Sokoban-small-v0__seed1,oracle_acc050_cost1_500k,1,False,0.5,1.0,,500000,FixedTarget-Sokoban-v2,0.0,0.0,0.0,0.0,0.0,0.0,200
20260529_023713__oracle_acc100_cost0_500k__Sokoban-small-v0__seed1,oracle_acc100_cost0_500k,1,False,1.0,0.0,,500000,FixedTarget-Sokoban-v2,1.0,0.0,100.0,0.0,16.175,6.481078228196293,200
20260528_054209__oracle_acc075_cost1_500k__Sokoban-small-v0__seed1,oracle_acc075_cost1_500k,1,False,0.75,1.0,,500000,FixedTarget-Sokoban-v2,0.0,0.0,3.756022702934247,13.168816250577134,1.42,5.357574077882637,200
20260528_061740__oracle_acc025_cost05_500k__Sokoban-small-v0__seed1,oracle_acc025_cost05_500k,1,False,0.25,0.5,,500000,FixedTarget-Sokoban-v2,0.0,0.0,29.19186520695163,35.74629420451388,10.995,15.807117858736932,200
20260528_070011__oracle_acc050_cost05_500k__Sokoban-small-v0__seed1,oracle_acc050_cost05_500k,1,False,0.5,0.5,,500000,FixedTarget-Sokoban-v2,0.015,0.12155245781143217,38.11123667479868,35.92339278189137,14.855,16.035397562891916,200
20260528_062313__oracle_acc100_cost1_500k__Sokoban-small-v0__seed1,oracle_acc100_cost1_500k,1,False,1.0,1.0,,500000,FixedTarget-Sokoban-v2,0.025,0.15612494995995993,20.378632756132756,26.885692322030096,9.215,12.149435172056354,200
20260529_001243__oracle_acc100_cost_linear_0to2_3M__Sokoban-small-v0__seed1,oracle_acc100_cost_linear_0to2_3M,1,False,1.0,0.0,2.0,3000000,FixedTarget-Sokoban-v2,0.005,0.07053367989832944,16.91,23.902759254947952,8.115,11.691953429602771,200
20260529_134854__oracle_acc050_cost0_500k__Sokoban-small-v0__seed1,oracle_acc050_cost0_500k,1,False,0.5,0.0,,500000,FixedTarget-Sokoban-v2,0.035,0.1837797594948911,30.19056481432402,35.322707584540034,10.45,13.632956392507092,200
20260529_132613__oracle_acc025_cost0_500k__Sokoban-small-v0__seed1,oracle_acc025_cost0_500k,1,False,0.25,0.0,,500000,FixedTarget-Sokoban-v2,0.0,0.0,3.277337662337662,14.41682466147614,1.315,6.3895050669046345,200
20260529_141115__oracle_acc075_cost0_500k__Sokoban-small-v0__seed1,oracle_acc075_cost0_500k,1,False,0.75,0.0,,500000,FixedTarget-Sokoban-v2,0.045,0.20730412441627882,16.329718614718615,28.129272339776303,5.33,10.247004440323035,200
