episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,80,-2.0,0.0,20.0,2,0.0,0.0,6,
2,88,11.1,1.0,27.27,3,0.0,0.3333,7,
3,104,-1.2,0.0,33.33,1,0.0,0.0,9,
4,216,-2.5,0.0,3.7,1,0.0,0.0,19,
5,272,8.8,1.0,8.82,3,0.0,0.0,26,
6,288,-3.5,0.0,5.56,2,0.0,0.0,28,
7,312,-1.4,0.0,20.0,1,0.0,0.0,29,
8,352,7.9,1.0,15.91,7,0.0,0.0,36,
9,424,8.6,1.0,17.5,7,0.0,0.4286,44,
10,440,-5.1,0.0,2.27,1,0.0,0.0,46,
11,488,-7.1,0.0,9.84,6,0.0,0.0,49,
12,568,-4.2,0.0,8.57,3,0.0,0.3333,61,
13,584,-2.8,0.0,10.0,2,0.0,0.0,64,
14,688,-5.5,0.0,21.28,10,0.0,0.0,77,
15,768,-4.2,0.0,11.43,4,0.0,0.25,84,
16,768,-1.6,0.0,20.0,2,0.0,0.0,84,
17,880,-7.5,0.0,1.52,1,0.0,0.0,95,
18,968,-4.5,0.0,6.25,3,0.0,0.0,100,
19,1000,-3.7,0.0,3.45,1,0.0,0.0,103,
20,1016,-6.4,0.0,10.71,6,0.0,0.3333,106,
21,1064,8.7,1.0,16.22,6,0.0,0.1667,109,
22,1136,-3.9,0.0,12.5,4,0.0,0.5,117,
23,1136,-11.3,0.0,12.17,14,0.0,0.1429,117,
24,1248,9.5,1.0,10.34,3,0.0,0.0,128,
25,1296,8.6,1.0,8.11,3,0.0,0.0,132,
26,1400,-4.0,0.0,9.09,3,0.0,0.0,143,
27,1600,-18.6,0.0,10.5,21,0.0,0.381,169,
28,1696,-2.1,0.0,8.33,1,0.0,0.0,185,
29,1944,-10.9,0.0,10.89,11,0.0,0.0909,216,
30,2048,-7.6,0.0,8.96,18,0.0,0.0,226,
31,2104,-5.9,0.0,7.84,4,0.0,0.0,232,
32,2184,1.2,1.0,18.02,20,0.0,0.3,245,
33,2400,-3.4,0.0,7.41,2,0.0,0.0,272,
34,2520,-7.0,0.0,15.28,11,0.0,0.0909,292,
35,2576,-18.3,0.0,9.45,19,0.0,0.0,299,
36,2592,-3.2,0.0,20.83,5,0.0,0.4,303,
37,2648,-1.6,0.0,28.57,2,0.0,0.0,309,
38,2664,-7.2,0.0,16.0,32,0.0,0.0,311,
39,2712,-9.1,0.0,10.84,9,0.0,0.0,315,
40,2856,-20.2,0.0,13.93,28,0.0,0.1429,334,
41,2856,-3.5,0.0,11.54,3,0.0,0.0,334,
42,2872,2.8,1.0,12.5,12,0.0,0.0,336,
43,2904,-5.6,0.0,14.58,7,0.0,0.1429,342,
44,2912,-3.9,0.0,12.9,4,0.0,0.25,344,
45,3008,-20.0,0.0,12.44,25,0.0,0.0,358,
46,3208,-8.7,0.0,10.13,8,0.0,0.25,379,
47,3240,-5.7,0.0,8.33,4,0.0,0.0,384,
48,3272,-4.0,0.0,20.0,9,0.0,0.1111,389,
49,3296,7.4,1.0,16.98,9,0.0,0.0,394,
50,3344,6.4,1.0,11.48,7,0.0,0.0,404,
51,3344,11.7,1.0,50.0,3,0.0,0.0,404,
52,3360,6.7,1.0,14.04,8,0.0,0.0,406,
53,3400,7.5,1.0,14.29,7,0.0,0.0,410,
54,3440,-1.9,0.0,16.67,2,0.0,0.0,415,
55,3488,9.5,1.0,22.58,7,0.0,0.0,426,
56,3496,-10.5,0.0,12.24,12,0.0,0.0,428,
57,3520,11.3,1.0,30.0,3,0.0,0.0,431,
58,3640,7.1,1.0,20.37,11,0.0,0.0,441,
59,3648,-2.7,0.0,5.0,1,0.0,0.0,444,
60,3680,8.8,1.0,5.71,2,0.0,0.5,449,
61,3720,-3.6,0.0,14.29,4,0.0,0.0,456,
62,3912,7.4,1.0,16.33,8,0.0,0.0,489,
63,3928,-3.3,0.0,16.67,6,0.0,0.0,494,
64,3968,8.7,1.0,16.67,6,0.0,0.1667,502,
65,4016,-10.1,0.0,19.35,18,0.0,0.0,513,
66,4192,2.2,1.0,20.19,21,0.0,0.0,554,
67,4232,9.9,1.0,22.22,6,0.0,0.0,560,
68,4288,7.8,1.0,17.78,8,0.0,0.125,575,
69,4360,4.6,1.0,27.5,22,0.0,0.0,590,
70,4368,-2.3,0.0,11.76,2,0.0,0.5,593,
71,4368,7.7,1.0,14.0,7,0.0,0.2857,593,
72,4424,-1.5,0.0,28.57,2,0.0,0.0,603,
73,4512,-2.6,0.0,33.33,6,0.0,0.0,620,
74,4568,-3.2,0.0,15.38,4,0.0,0.0,626,
75,4616,0.4,1.0,21.49,26,0.0,0.0769,641,
76,4624,9.9,1.0,24.0,6,0.0,0.0,643,
77,4712,7.1,1.0,18.87,10,0.0,0.2,658,
