"charts/global_step","20260525_061127__oracle_acc050_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_061127__oracle_acc050_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_061127__oracle_acc050_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_061127__oracle_acc050_cost05_500k__Sokoban-small-v0__seed1 - _step","20260525_061127__oracle_acc050_cost05_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_061127__oracle_acc050_cost05_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_060622__oracle_acc100_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_060622__oracle_acc100_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_060622__oracle_acc100_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_060622__oracle_acc100_cost05_500k__Sokoban-small-v0__seed1 - _step","20260525_060622__oracle_acc100_cost05_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_060622__oracle_acc100_cost05_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_060446__oracle_acc075_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_060446__oracle_acc075_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_060446__oracle_acc075_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_060446__oracle_acc075_cost1_500k__Sokoban-small-v0__seed1 - _step","20260525_060446__oracle_acc075_cost1_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_060446__oracle_acc075_cost1_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_060021__oracle_acc025_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_060021__oracle_acc025_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_060021__oracle_acc025_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_060021__oracle_acc025_cost1_500k__Sokoban-small-v0__seed1 - _step","20260525_060021__oracle_acc025_cost1_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_060021__oracle_acc025_cost1_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_051238__oracle_acc075_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_051238__oracle_acc075_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_051238__oracle_acc075_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_051238__oracle_acc075_cost05_500k__Sokoban-small-v0__seed1 - _step","20260525_051238__oracle_acc075_cost05_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_051238__oracle_acc075_cost05_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_050738__oracle_acc025_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_050738__oracle_acc025_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_050738__oracle_acc025_cost05_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_050738__oracle_acc025_cost05_500k__Sokoban-small-v0__seed1 - _step","20260525_050738__oracle_acc025_cost05_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_050738__oracle_acc025_cost05_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_050338__oracle_acc050_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_050338__oracle_acc050_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_050338__oracle_acc050_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_050338__oracle_acc050_cost1_500k__Sokoban-small-v0__seed1 - _step","20260525_050338__oracle_acc050_cost1_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_050338__oracle_acc050_cost1_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_045838__oracle_acc100_cost03_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_045838__oracle_acc100_cost03_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_045838__oracle_acc100_cost03_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_045838__oracle_acc100_cost03_500k__Sokoban-small-v0__seed1 - _step","20260525_045838__oracle_acc100_cost03_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_045838__oracle_acc100_cost03_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_040651__oracle_acc075_cost02_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_040651__oracle_acc075_cost02_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_040651__oracle_acc075_cost02_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_040651__oracle_acc075_cost02_500k__Sokoban-small-v0__seed1 - _step","20260525_040651__oracle_acc075_cost02_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_040651__oracle_acc075_cost02_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_040357__oracle_acc050_cost02_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_040357__oracle_acc050_cost02_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_040357__oracle_acc050_cost02_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_040357__oracle_acc050_cost02_500k__Sokoban-small-v0__seed1 - _step","20260525_040357__oracle_acc050_cost02_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_040357__oracle_acc050_cost02_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_040248__oracle_acc025_cost02_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_040248__oracle_acc025_cost02_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_040248__oracle_acc025_cost02_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_040248__oracle_acc025_cost02_500k__Sokoban-small-v0__seed1 - _step","20260525_040248__oracle_acc025_cost02_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_040248__oracle_acc025_cost02_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_035537__oracle_acc000_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_035537__oracle_acc000_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_035537__oracle_acc000_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_035537__oracle_acc000_cost0_500k__Sokoban-small-v0__seed1 - _step","20260525_035537__oracle_acc000_cost0_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_035537__oracle_acc000_cost0_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_025940__oracle_acc100_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_025940__oracle_acc100_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_025940__oracle_acc100_cost1_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_025940__oracle_acc100_cost1_500k__Sokoban-small-v0__seed1 - _step","20260525_025940__oracle_acc100_cost1_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_025940__oracle_acc100_cost1_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_025940__oracle_acc075_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_025940__oracle_acc075_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_025940__oracle_acc075_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_025940__oracle_acc075_cost0_500k__Sokoban-small-v0__seed1 - _step","20260525_025940__oracle_acc075_cost0_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_025940__oracle_acc075_cost0_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_025940__oracle_acc050_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_025940__oracle_acc050_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_025940__oracle_acc050_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_025940__oracle_acc050_cost0_500k__Sokoban-small-v0__seed1 - _step","20260525_025940__oracle_acc050_cost0_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_025940__oracle_acc050_cost0_500k__Sokoban-small-v0__seed1 - _step__MAX","20260525_025940__oracle_acc025_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep","20260525_025940__oracle_acc025_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MIN","20260525_025940__oracle_acc025_cost0_500k__Sokoban-small-v0__seed1 - charts/success_rate_50ep__MAX","20260525_025940__oracle_acc025_cost0_500k__Sokoban-small-v0__seed1 - _step","20260525_025940__oracle_acc025_cost0_500k__Sokoban-small-v0__seed1 - _step__MIN","20260525_025940__oracle_acc025_cost0_500k__Sokoban-small-v0__seed1 - _step__MAX"
"16384","0.02","0.02","0.02","16384","16384","16384","0.14","0.14","0.14","16384","16384","16384","0.04","0.04","0.04","16384","16384","16384","0.06","0.06","0.06","16384","16384","16384","0.04","0.04","0.04","16384","16384","16384","0.06","0.06","0.06","16384","16384","16384","0.02","0.02","0.02","16384","16384","16384","0.14","0.14","0.14","16384","16384","16384","0.04","0.04","0.04","16384","16384","16384","0.02","0.02","0.02","16384","16384","16384","0.06","0.06","0.06","16384","16384","16384","0.06","0.06","0.06","16384","16384","16384","0.14","0.14","0.14","16384","16384","16384","0.04","0.04","0.04","16384","16384","16384","0.02","0.02","0.02","16384","16384","16384","0.06","0.06","0.06","16384","16384","16384"
"32768","0.1","0.1","0.1","32768","32768","32768","0.08","0.08","0.08","32768","32768","32768","0.04","0.04","0.04","32768","32768","32768","0.04","0.04","0.04","32768","32768","32768","0.06","0.06","0.06","32768","32768","32768","0.06","0.06","0.06","32768","32768","32768","0.14","0.14","0.14","32768","32768","32768","0.14","0.14","0.14","32768","32768","32768","0.1","0.1","0.1","32768","32768","32768","0.1","0.1","0.1","32768","32768","32768","0.06","0.06","0.06","32768","32768","32768","0.02","0.02","0.02","32768","32768","32768","0.14","0.14","0.14","32768","32768","32768","0.12","0.12","0.12","32768","32768","32768","0.14","0.14","0.14","32768","32768","32768","0.12","0.12","0.12","32768","32768","32768"
"49152","0.06","0.06","0.06","49152","49152","49152","0.18","0.18","0.18","49152","49152","49152","0.06","0.06","0.06","49152","49152","49152","0.04","0.04","0.04","49152","49152","49152","0.06","0.06","0.06","49152","49152","49152","0.04","0.04","0.04","49152","49152","49152","0.08","0.08","0.08","49152","49152","49152","0.18","0.18","0.18","49152","49152","49152","0.06","0.06","0.06","49152","49152","49152","0.06","0.06","0.06","49152","49152","49152","0.02","0.02","0.02","49152","49152","49152","0.04","0.04","0.04","49152","49152","49152","0.02","0.02","0.02","49152","49152","49152","0.2","0.2","0.2","49152","49152","49152","0.1","0.1","0.1","49152","49152","49152","0.1","0.1","0.1","49152","49152","49152"
"65536","0.1","0.1","0.1","65536","65536","65536","0.2","0.2","0.2","65536","65536","65536","0.08","0.08","0.08","65536","65536","65536","0.02","0.02","0.02","65536","65536","65536","0.14","0.14","0.14","65536","65536","65536","0.02","0.02","0.02","65536","65536","65536","0.08","0.08","0.08","65536","65536","65536","0.16","0.16","0.16","65536","65536","65536","0.2","0.2","0.2","65536","65536","65536","0.06","0.06","0.06","65536","65536","65536","0.04","0.04","0.04","65536","65536","65536","0.06","0.06","0.06","65536","65536","65536","0.1","0.1","0.1","65536","65536","65536","0.28","0.28","0.28","65536","65536","65536","0.04","0.04","0.04","65536","65536","65536","0.06","0.06","0.06","65536","65536","65536"
"81920","0.08","0.08","0.08","81920","81920","81920","0.1","0.1","0.1","81920","81920","81920","0.08","0.08","0.08","81920","81920","81920","0.02","0.02","0.02","81920","81920","81920","0.1","0.1","0.1","81920","81920","81920","0.06","0.06","0.06","81920","81920","81920","0.1","0.1","0.1","81920","81920","81920","0.2","0.2","0.2","81920","81920","81920","0.1","0.1","0.1","81920","81920","81920","0.08","0.08","0.08","81920","81920","81920","0","0","0","81920","81920","81920","0","0","0","81920","81920","81920","0.08","0.08","0.08","81920","81920","81920","0.22","0.22","0.22","81920","81920","81920","0.18","0.18","0.18","81920","81920","81920","0.14","0.14","0.14","81920","81920","81920"
"98304","0.04","0.04","0.04","98304","98304","98304","0.14","0.14","0.14","98304","98304","98304","0.08","0.08","0.08","98304","98304","98304","0.02","0.02","0.02","98304","98304","98304","0.04","0.04","0.04","98304","98304","98304","0.04","0.04","0.04","98304","98304","98304","0.02","0.02","0.02","98304","98304","98304","0.24","0.24","0.24","98304","98304","98304","0.14","0.14","0.14","98304","98304","98304","0.06","0.06","0.06","98304","98304","98304","0.08","0.08","0.08","98304","98304","98304","0.04","0.04","0.04","98304","98304","98304","0.04","0.04","0.04","98304","98304","98304","0.34","0.34","0.34","98304","98304","98304","0.26","0.26","0.26","98304","98304","98304","0.1","0.1","0.1","98304","98304","98304"
"114688","0.08","0.08","0.08","114688","114688","114688","0.12","0.12","0.12","114688","114688","114688","0.06","0.06","0.06","114688","114688","114688","0.08","0.08","0.08","114688","114688","114688","0.06","0.06","0.06","114688","114688","114688","0.06","0.06","0.06","114688","114688","114688","0.1","0.1","0.1","114688","114688","114688","0.42","0.42","0.42","114688","114688","114688","0.24","0.24","0.24","114688","114688","114688","0.08","0.08","0.08","114688","114688","114688","0.06","0.06","0.06","114688","114688","114688","0.08","0.08","0.08","114688","114688","114688","0.1","0.1","0.1","114688","114688","114688","0.38","0.38","0.38","114688","114688","114688","0.36","0.36","0.36","114688","114688","114688","0.08","0.08","0.08","114688","114688","114688"
"131072","0.06","0.06","0.06","131072","131072","131072","0.14","0.14","0.14","131072","131072","131072","0.04","0.04","0.04","131072","131072","131072","0.04","0.04","0.04","131072","131072","131072","0.04","0.04","0.04","131072","131072","131072","0.08","0.08","0.08","131072","131072","131072","0.12","0.12","0.12","131072","131072","131072","0.44","0.44","0.44","131072","131072","131072","0.38","0.38","0.38","131072","131072","131072","0.02","0.02","0.02","131072","131072","131072","0.04","0.04","0.04","131072","131072","131072","0.04","0.04","0.04","131072","131072","131072","0.04","0.04","0.04","131072","131072","131072","0.26","0.26","0.26","131072","131072","131072","0.2","0.2","0.2","131072","131072","131072","0.2","0.2","0.2","131072","131072","131072"
"147456","0.02","0.02","0.02","147456","147456","147456","0.18","0.18","0.18","147456","147456","147456","0.04","0.04","0.04","147456","147456","147456","0.02","0.02","0.02","147456","147456","147456","0.02","0.02","0.02","147456","147456","147456","0.04","0.04","0.04","147456","147456","147456","0.04","0.04","0.04","147456","147456","147456","0.7","0.7","0.7","147456","147456","147456","0.46","0.46","0.46","147456","147456","147456","0.16","0.16","0.16","147456","147456","147456","0.08","0.08","0.08","147456","147456","147456","0.08","0.08","0.08","147456","147456","147456","0.12","0.12","0.12","147456","147456","147456","0.4","0.4","0.4","147456","147456","147456","0.24","0.24","0.24","147456","147456","147456","0.16","0.16","0.16","147456","147456","147456"
"163840","0.08","0.08","0.08","163840","163840","163840","0.18","0.18","0.18","163840","163840","163840","0.08","0.08","0.08","163840","163840","163840","0.04","0.04","0.04","163840","163840","163840","0.04","0.04","0.04","163840","163840","163840","0.04","0.04","0.04","163840","163840","163840","0.06","0.06","0.06","163840","163840","163840","0.7","0.7","0.7","163840","163840","163840","0.44","0.44","0.44","163840","163840","163840","0","0","0","163840","163840","163840","0.04","0.04","0.04","163840","163840","163840","0.04","0.04","0.04","163840","163840","163840","0.08","0.08","0.08","163840","163840","163840","0.56","0.56","0.56","163840","163840","163840","0.42","0.42","0.42","163840","163840","163840","0.1","0.1","0.1","163840","163840","163840"
"180224","0.04","0.04","0.04","180224","180224","180224","0.2","0.2","0.2","180224","180224","180224","0.12","0.12","0.12","180224","180224","180224","0.04","0.04","0.04","180224","180224","180224","0.06","0.06","0.06","180224","180224","180224","0.02","0.02","0.02","180224","180224","180224","0.06","0.06","0.06","180224","180224","180224","0.72","0.72","0.72","180224","180224","180224","0.42","0.42","0.42","180224","180224","180224","0.08","0.08","0.08","180224","180224","180224","0.04","0.04","0.04","180224","180224","180224","0","0","0","180224","180224","180224","0.08","0.08","0.08","180224","180224","180224","0.62","0.62","0.62","180224","180224","180224","0.4","0.4","0.4","180224","180224","180224","0.08","0.08","0.08","180224","180224","180224"
"196608","0.08","0.08","0.08","196608","196608","196608","0.2","0.2","0.2","196608","196608","196608","0.14","0.14","0.14","196608","196608","196608","0.06","0.06","0.06","196608","196608","196608","0.1","0.1","0.1","196608","196608","196608","0.06","0.06","0.06","196608","196608","196608","0.02","0.02","0.02","196608","196608","196608","0.86","0.86","0.86","196608","196608","196608","0.62","0.62","0.62","196608","196608","196608","0.1","0.1","0.1","196608","196608","196608","0.06","0.06","0.06","196608","196608","196608","0.08","0.08","0.08","196608","196608","196608","0.06","0.06","0.06","196608","196608","196608","0.8","0.8","0.8","196608","196608","196608","0.4","0.4","0.4","196608","196608","196608","0.26","0.26","0.26","196608","196608","196608"
"212992","0.1","0.1","0.1","212992","212992","212992","0.2","0.2","0.2","212992","212992","212992","0.08","0.08","0.08","212992","212992","212992","0.04","0.04","0.04","212992","212992","212992","0.06","0.06","0.06","212992","212992","212992","0.08","0.08","0.08","212992","212992","212992","0.06","0.06","0.06","212992","212992","212992","0.92","0.92","0.92","212992","212992","212992","0.64","0.64","0.64","212992","212992","212992","0.08","0.08","0.08","212992","212992","212992","0.08","0.08","0.08","212992","212992","212992","0.04","0.04","0.04","212992","212992","212992","0.04","0.04","0.04","212992","212992","212992","0.76","0.76","0.76","212992","212992","212992","0.56","0.56","0.56","212992","212992","212992","0.28","0.28","0.28","212992","212992","212992"
