episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,192,11.7,1.0,0.0,0,,,0.0,0,1
2,3200,-5.0,0.0,0.0,0,,,0.0,0,
3,3200,-4.0,0.0,0.0,0,,,0.0,0,
4,3200,-5.0,0.0,0.0,0,,,0.0,0,
5,3200,-5.0,0.0,0.0,0,,,0.0,0,
6,3200,-4.0,0.0,0.0,0,,,0.0,0,
7,3200,-4.0,0.0,0.0,0,,,0.0,0,
8,3200,-5.0,0.0,0.0,0,,,0.0,0,
9,3200,-5.0,0.0,0.0,0,,,0.0,0,
10,3200,-4.0,0.0,0.0,0,,,0.0,0,
11,3200,-5.0,0.0,0.0,0,,,0.0,0,
12,3200,-5.0,0.0,0.0,0,,,0.0,0,
13,3200,-5.0,0.0,0.0,0,,,0.0,0,
14,3200,-5.0,0.0,0.0,0,,,0.0,0,
15,3200,-5.0,0.0,0.0,0,,,0.0,0,
16,3200,-5.0,0.0,0.0,0,,,0.0,0,
17,3200,-5.0,0.0,0.0,0,,,0.0,0,
18,3200,-5.0,0.0,0.0,0,,,0.0,0,
19,3200,-5.0,0.0,0.0,0,,,0.0,0,
20,3200,-5.0,0.0,0.0,0,,,0.0,0,
21,3200,-5.0,0.0,0.0,0,,,0.0,0,
22,3200,-5.0,0.0,0.0,0,,,0.0,0,
23,3200,-5.0,0.0,0.0,0,,,0.0,0,
24,3200,-5.0,0.0,0.0,0,,,0.0,0,
25,3200,-5.0,0.0,0.0,0,,,0.0,0,
26,3200,-5.0,0.0,0.0,0,,,0.0,0,
27,3200,-5.0,0.0,0.0,0,,,0.0,0,
28,3200,-5.0,0.0,0.0,0,,,0.0,0,
29,3200,-5.0,0.0,0.0,0,,,0.0,0,
30,3200,-5.0,0.0,0.0,0,,,0.0,0,
31,3200,-4.0,0.0,0.0,0,,,0.0,0,
32,3200,-5.0,0.0,0.0,0,,,0.0,0,
33,3200,-5.0,0.0,0.0,0,,,0.0,0,
34,3200,-5.0,0.0,0.0,0,,,0.0,0,
35,3200,-5.0,0.0,0.0,0,,,0.0,0,
36,3200,-5.0,0.0,0.0,0,,,0.0,0,
37,3200,-5.0,0.0,0.0,0,,,0.0,0,
38,3200,-5.0,0.0,0.0,0,,,0.0,0,
39,3200,-5.0,0.0,0.0,0,,,0.0,0,
40,3200,-5.0,0.0,0.0,0,,,0.0,0,
41,3200,-5.0,0.0,0.0,0,,,0.0,0,
42,3200,-5.0,0.0,0.0,0,,,0.0,0,
43,3200,-4.0,0.0,0.0,0,,,0.0,0,
44,3200,-5.0,0.0,0.0,0,,,0.0,0,
45,3200,-4.0,0.0,0.0,0,,,0.0,0,
46,3200,-5.0,0.0,0.0,0,,,0.0,0,
47,3200,-5.0,0.0,0.0,0,,,0.0,0,
48,3200,-5.0,0.0,0.0,0,,,0.0,0,
49,3200,-5.0,0.0,0.0,0,,,0.0,0,
50,3200,-4.0,0.0,0.0,0,,,0.0,0,
51,3200,-5.0,0.0,0.0,0,,,0.0,0,
52,3200,-5.0,0.0,0.0,0,,,0.0,0,
53,3200,-5.0,0.0,0.0,0,,,0.0,0,
54,3200,-4.0,0.0,0.0,0,,,0.0,0,
55,3200,-4.0,0.0,0.0,0,,,0.0,0,
56,3200,-5.0,0.0,0.0,0,,,0.0,0,
57,3200,-5.0,0.0,0.0,0,,,0.0,0,
58,3200,-5.0,0.0,0.0,0,,,0.0,0,
59,3200,-5.0,0.0,0.0,0,,,0.0,0,
60,3200,-5.0,0.0,0.0,0,,,0.0,0,
61,3200,-5.0,0.0,0.0,0,,,0.0,0,
62,3200,-5.0,0.0,0.0,0,,,0.0,0,
63,3200,-5.0,0.0,0.0,0,,,0.0,0,
64,3200,-5.0,0.0,0.0,0,,,0.0,0,
65,3456,-5.0,0.0,0.0,0,,,0.0,0,
66,6464,-5.0,0.0,0.0,0,,,0.0,0,
67,6464,-4.0,0.0,0.0,0,,,0.0,0,
68,6464,-4.0,0.0,0.0,0,,,0.0,0,
69,6464,-4.0,0.0,0.0,0,,,0.0,0,
70,6464,-4.0,0.0,0.0,0,,,0.0,0,
71,6464,-5.0,0.0,0.0,0,,,0.0,0,
72,6464,-5.0,0.0,0.0,0,,,0.0,0,
73,6464,-5.0,0.0,0.0,0,,,0.0,0,
74,6464,-5.0,0.0,0.0,0,,,0.0,0,
75,6464,-4.0,0.0,0.0,0,,,0.0,0,
76,6464,-5.0,0.0,0.0,0,,,0.0,0,
77,6464,-5.0,0.0,0.0,0,,,0.0,0,
78,6464,-4.0,0.0,0.0,0,,,0.0,0,
79,6464,-5.0,0.0,0.0,0,,,0.0,0,
80,6464,-5.0,0.0,0.0,0,,,0.0,0,
81,6464,-4.0,0.0,0.0,0,,,0.0,0,
82,6464,-5.0,0.0,0.0,0,,,0.0,0,
83,6464,-5.0,0.0,0.0,0,,,0.0,0,
84,6464,-5.0,0.0,0.0,0,,,0.0,0,
85,6464,-5.0,0.0,0.0,0,,,0.0,0,
86,6464,-5.0,0.0,0.0,0,,,0.0,0,
87,6464,-4.0,0.0,0.0,0,,,0.0,0,
88,6464,-5.0,0.0,0.0,0,,,0.0,0,
89,6464,-4.0,0.0,0.0,0,,,0.0,0,
90,6464,-5.0,0.0,0.0,0,,,0.0,0,
91,6464,-5.0,0.0,0.0,0,,,0.0,0,
92,6464,-4.0,0.0,0.0,0,,,0.0,0,
93,6464,-5.0,0.0,0.0,0,,,0.0,0,
94,6464,-5.0,0.0,0.0,0,,,0.0,0,
95,6464,-5.0,0.0,0.0,0,,,0.0,0,
96,6464,-5.0,0.0,0.0,0,,,0.0,0,
97,6464,-4.0,0.0,0.0,0,,,0.0,0,
98,6464,-4.0,0.0,0.0,0,,,0.0,0,
99,6464,-5.0,0.0,0.0,0,,,0.0,0,
100,6464,-5.0,0.0,0.0,0,,,0.0,0,
101,6464,-4.0,0.0,0.0,0,,,0.0,0,
102,6464,-5.0,0.0,0.0,0,,,0.0,0,
103,6464,-5.0,0.0,0.0,0,,,0.0,0,
104,6464,-5.0,0.0,0.0,0,,,0.0,0,
105,6464,-5.0,0.0,0.0,0,,,0.0,0,
106,6464,-5.0,0.0,0.0,0,,,0.0,0,
107,6464,-5.0,0.0,0.0,0,,,0.0,0,
108,6464,-4.0,0.0,0.0,0,,,0.0,0,
109,6464,-5.0,0.0,0.0,0,,,0.0,0,
110,6464,-5.0,0.0,0.0,0,,,0.0,0,
111,6464,-5.0,0.0,0.0,0,,,0.0,0,
112,6464,-5.0,0.0,0.0,0,,,0.0,0,
113,6464,-5.0,0.0,0.0,0,,,0.0,0,
114,6464,-5.0,0.0,0.0,0,,,0.0,0,
