episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,192,-1.2,0.0,33.33,1,0.0,0.0,0.000192,21,
2,640,-1.9002,0.0,20.0,2,0.0,0.5,0.00064,68,
3,704,-2.0003,0.0,18.18,2,0.0,0.5,0.000704,73,
4,832,-2.201,0.0,23.08,3,0.0,0.6667,0.000832,84,
5,896,-2.3005,0.0,14.29,2,0.0,0.5,0.000896,92,
6,960,-2.4008,0.0,26.67,4,0.25,0.75,0.00096,98,
7,960,-2.4,0.0,6.67,1,0.0,0.0,0.00096,98,
8,1216,10.0994,1.0,5.26,1,0.0,1.0,0.001216,130,
9,1408,-3.1004,0.0,9.09,2,0.0,0.5,0.001408,146,
10,1664,-2.5024,0.0,11.54,3,0.3333,0.6667,0.001664,167,
11,1664,9.3942,1.0,23.08,6,0.1667,1.0,0.001664,167,
12,1728,-3.6,0.0,3.7,1,0.0,0.0,0.001728,176,
13,1728,-2.6003,0.0,7.41,2,0.0,0.5,0.001728,176,
14,1728,-3.6001,0.0,7.41,2,0.5,0.5,0.001728,176,
15,1792,-2.7015,0.0,10.71,3,0.0,0.6667,0.001792,183,
16,1792,-3.7007,0.0,7.14,2,0.0,0.5,0.001792,183,
17,1856,-3.8026,0.0,13.79,4,0.0,0.75,0.001856,193,
18,1856,-3.8006,0.0,6.9,2,0.5,0.5,0.001856,193,
19,1856,-3.8024,0.0,13.79,4,0.0,0.75,0.001856,193,
20,1984,-4.0013,0.0,9.68,3,0.0,0.6667,0.001984,208,
21,1984,10.0971,1.0,10.0,2,0.0,1.0,0.001984,208,
22,2048,-4.1003,0.0,6.25,2,0.0,0.5,0.002048,209,
23,2112,-4.2011,0.0,6.06,2,0.5,0.5,0.002112,213,
24,2176,-4.3024,0.0,11.76,4,0.25,0.75,0.002176,221,
25,2240,-3.403,0.0,11.43,4,0.0,0.75,0.00224,228,
26,2304,8.3967,1.0,5.56,2,0.0,1.0,0.002304,233,
27,2432,-4.7003,0.0,5.26,2,0.0,0.5,0.002432,246,
28,2432,-1.9023,0.0,18.18,2,0.5,0.5,0.002432,246,
29,2560,7.9893,1.0,12.5,5,0.2,1.0,0.00256,262,
30,2688,-4.0017,0.0,6.25,2,0.0,0.5,0.002688,274,
31,2816,-5.3024,0.0,9.09,4,0.0,0.75,0.002816,291,
32,3072,-5.3057,0.0,13.33,6,0.0,0.8333,0.003072,313,
33,3072,-2.9,0.0,4.76,1,0.0,0.0,0.003072,313,
34,3136,-4.8118,0.0,16.33,8,0.0,0.875,0.003136,322,
35,3200,-4.0121,0.0,14.0,7,0.2857,1.0,0.0032,331,
36,3200,-5.0014,0.0,6.0,3,0.3333,1.0,0.0032,331,
37,3200,-4.0139,0.0,16.0,8,0.25,1.0,0.0032,331,
38,3200,-4.0092,0.0,12.0,6,0.3333,1.0,0.0032,331,
39,3200,-5.0063,0.0,10.0,5,0.4,1.0,0.0032,331,
40,3200,-5.006,0.0,8.0,4,0.0,1.0,0.0032,331,
41,3200,-4.0156,0.0,16.0,8,0.125,1.0,0.0032,331,
