episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,384,-0.5,0.0,16.67,1,0.0,0.0,0.0,45,
2,640,-1.9,0.0,10.0,1,0.0,0.0,0.0,68,
3,768,-2.1,0.0,16.67,2,0.0,0.5,0.0,78,
4,896,-2.3,0.0,7.14,1,0.0,0.0,0.0,93,
5,960,-2.4,0.0,6.67,1,0.0,0.0,0.0,99,
6,960,-2.4,0.0,26.67,4,0.0,0.25,0.0,99,
7,1024,10.4,1.0,6.25,1,0.0,0.0,0.0,107,
8,1088,-2.6,0.0,11.76,2,0.5,0.0,0.0,116,
9,1152,-2.7,0.0,5.56,1,0.0,0.0,0.0,124,
10,1152,-2.7,0.0,11.11,2,0.0,0.5,0.0,124,
11,1152,10.2,1.0,22.22,4,0.0,0.75,0.0,124,
12,1280,-1.9,0.0,25.0,5,0.0,0.2,0.0,134,
13,1344,-3.0,0.0,9.52,2,0.0,0.0,0.0,139,
14,1408,-3.1,0.0,13.64,3,0.3333,0.0,0.0,146,
15,1408,-3.1,0.0,9.09,2,0.0,0.5,0.0,146,
16,1536,-3.3,0.0,4.17,1,0.0,0.0,0.0,160,
17,1728,-3.6,0.0,7.41,2,0.0,0.0,0.0,176,
18,1728,9.3,1.0,14.81,4,0.0,0.5,0.0,176,
19,1728,-2.6,0.0,7.41,2,0.0,0.0,0.0,176,
20,1792,-3.7,0.0,14.29,4,0.0,0.25,0.0,182,
21,1792,-2.7,0.0,7.14,2,0.5,0.0,0.0,182,
22,1984,-4.0,0.0,9.68,3,0.0,0.6667,0.0,207,
23,2048,8.8,1.0,15.62,5,0.0,0.6,0.0,209,
24,2112,8.7,1.0,6.06,2,0.5,0.0,0.0,213,
25,2112,-4.2,0.0,6.06,2,0.0,0.5,0.0,213,
26,2304,-3.5,0.0,16.67,6,0.1667,0.3333,0.0,233,
27,2432,-3.7,0.0,5.26,2,0.0,0.0,0.0,246,
28,2496,-2.3,0.0,20.0,3,0.0,0.0,0.0,253,
29,2496,-4.8,0.0,12.82,5,0.0,0.2,0.0,253,
30,2560,-3.9,0.0,5.0,2,0.0,0.0,0.0,261,
31,2752,-5.2,0.0,6.98,3,0.6667,0.3333,0.0,284,
