episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,256,11.6,1.0,25.0,1,0.0,1.0,0.0,26,
2,512,-1.7,0.0,12.5,1,0.0,0.0,0.0,49,
3,640,-1.9,0.0,10.0,1,0.0,0.0,0.0,63,
4,896,-2.3,0.0,14.29,2,0.0,0.5,0.0,83,
5,1024,10.4,1.0,6.25,1,0.0,1.0,0.0,95,
6,1088,-2.6,0.0,17.65,3,0.3333,0.6667,0.0,105,
7,1088,-2.6,0.0,11.76,2,0.0,0.5,0.0,105,
8,1152,-1.7,0.0,16.67,3,0.3333,0.6667,0.0,112,
9,1152,-2.7,0.0,11.11,2,0.0,0.5,0.0,112,
10,1216,-2.8,0.0,10.53,2,0.0,0.5,0.0,120,
11,1344,-3.0,0.0,14.29,3,0.3333,0.6667,0.0,131,
12,1408,-3.1,0.0,9.09,2,0.0,0.5,0.0,138,
13,1472,-3.2,0.0,8.7,2,0.0,0.5,0.0,143,
14,1600,-2.3,0.0,13.33,2,0.0,0.5,0.0,157,
15,1664,-3.5,0.0,11.54,3,0.3333,0.6667,0.0,162,
16,1856,-1.9,0.0,9.09,1,0.0,0.0,0.0,185,
17,1856,-3.8,0.0,6.9,2,0.0,0.5,0.0,185,
18,1984,-4.0,0.0,6.45,2,0.0,0.5,0.0,198,
19,2048,-4.1,0.0,12.5,4,0.0,0.75,0.0,203,
20,2048,-4.1,0.0,9.38,3,0.0,0.6667,0.0,203,
21,2048,8.8,1.0,18.75,6,0.0,1.0,0.0,203,
22,2176,-2.4,0.0,6.25,1,0.0,0.0,0.0,216,
23,2240,-4.4,0.0,17.14,6,0.0,0.8333,0.0,223,
24,2304,-4.5,0.0,16.67,6,0.1667,0.8333,0.0,227,
25,2304,-2.7,0.0,5.26,1,0.0,0.0,0.0,227,
26,2368,-4.6,0.0,10.81,4,0.25,0.75,0.0,230,
27,2496,-4.8,0.0,7.69,3,0.0,0.6667,0.0,240,
28,2560,-4.9,0.0,7.5,3,0.0,0.6667,0.0,247,
29,2688,-5.1,0.0,9.52,4,0.0,0.75,0.0,260,
30,2688,-4.1,0.0,4.76,2,0.5,0.5,0.0,260,
31,2688,-5.1,0.0,16.67,7,0.2857,0.8571,0.0,260,
32,2816,-5.3,0.0,6.82,3,0.3333,0.6667,0.0,271,
33,2944,-4.0,0.0,15.62,5,0.4,0.8,0.0,279,
34,3008,7.3,1.0,8.51,4,0.0,1.0,0.0,286,
35,3072,-4.7,0.0,10.42,5,0.2,0.8,0.0,292,
36,3136,-2.2,0.0,7.14,1,0.0,0.0,0.0,299,
37,3136,7.1,1.0,8.16,4,0.25,1.0,0.0,299,
38,3136,-2.5,0.0,11.76,2,0.0,0.5,0.0,299,
39,3200,-4.0,0.0,4.0,2,0.5,1.0,0.0,305,
40,3200,-5.0,0.0,2.0,1,0.0,1.0,0.0,305,
41,3200,-4.0,0.0,10.0,5,0.0,1.0,0.0,305,
42,3200,-4.0,0.0,8.0,4,0.25,1.0,0.0,305,
43,3200,-4.0,0.0,16.0,8,0.25,1.0,0.0,305,
44,3200,-5.0,0.0,2.0,1,0.0,1.0,0.0,305,
45,3200,-5.0,0.0,8.0,4,0.0,1.0,0.0,305,
46,3200,-4.0,0.0,10.0,5,0.2,1.0,0.0,305,
47,3200,-4.0,0.0,6.0,3,0.3333,1.0,0.0,305,
48,3200,-5.0,0.0,8.0,4,0.0,1.0,0.0,305,
49,3200,-4.0,0.0,12.0,6,0.1667,1.0,0.0,305,
50,3200,-4.0,0.0,10.0,5,0.0,1.0,0.0,305,
51,3200,-5.0,0.0,10.0,5,0.6,1.0,0.0,305,
52,3200,-5.0,0.0,16.0,8,0.0,1.0,0.0,305,
53,3200,-5.0,0.0,8.0,4,0.0,1.0,0.0,305,
