run_name,group,state,env_id,seed,oracle_cost,oracle_cost_final,oracle_accuracy,no_oracle,total_timesteps,final_success_rate,final_return,final_guided_pct,final_queries_per_ep,final_oracle_correct_rate
20260525_025940__oracle_acc100_cost1_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_500k,finished,Sokoban-small-v0,1,1.0,,1.0,False,500000,0.12,-3.3309999999999995,0.09803921568627452,0.05,0.575
20260525_025940__oracle_acc075_cost0_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_500k,finished,Sokoban-small-v0,1,0.0,,0.75,False,500000,0.96,9.882,90.52445731032466,15.4,0.8121388968002744
20260525_025940__oracle_acc050_cost0_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_500k,finished,Sokoban-small-v0,1,0.0,,0.5,False,500000,0.8,6.6080000000000005,92.57174781624404,21.525,0.5926746732060428
20260525_025940__oracle_acc025_cost0_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_500k,finished,Sokoban-small-v0,1,0.0,,0.25,False,500000,0.4,1.735999999999999,91.37670897867784,28.275,0.3149056519650122
20260525_035537__oracle_acc000_cost0_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_500k,finished,Sokoban-small-v0,1,0.0,,0.0,False,500000,0.08,-2.544,21.602983668736037,7.325,0.06728588405058993
20260525_040248__oracle_acc025_cost02_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_500k,finished,Sokoban-small-v0,1,0.2,,0.25,False,500000,0.12,-3.1349999999999993,7.837713419566519,2.675,0.2243253968253968
20260525_040357__oracle_acc050_cost02_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_500k,finished,Sokoban-small-v0,1,0.2,,0.5,False,500000,0.34,-0.5059999999999986,43.669019800758576,12.925,0.4852005266556017
20260525_040651__oracle_acc075_cost02_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_500k,finished,Sokoban-small-v0,1,0.2,,0.75,False,500000,0.82,6.873000000000002,88.91079062720749,12.6,0.7570295067517734
20260525_045838__oracle_acc100_cost03_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_extra_500k,finished,Sokoban-small-v0,1,0.3,,1.0,False,500000,1.0,7.143999999999998,90.19302198203128,13.775,1.0
20260525_050338__oracle_acc050_cost1_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_extra_500k,finished,Sokoban-small-v0,1,1.0,,0.5,False,500000,0.08,-3.833999999999999,0.19807923169267708,0.1,0.35
20260525_050738__oracle_acc025_cost05_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_extra_500k,finished,Sokoban-small-v0,1,0.5,,0.25,False,500000,0.14,-3.506,2.694438156311862,0.95,0.225
20260525_051238__oracle_acc075_cost05_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_extra_500k,finished,Sokoban-small-v0,1,0.5,,0.75,False,500000,0.14,-2.9979999999999993,5.319190060743571,1.675,0.39333333333333326
20260525_060021__oracle_acc025_cost1_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_extra_500k,finished,Sokoban-small-v0,1,1.0,,0.25,False,500000,0.04,-3.612000000000001,0.152387041773231,0.075,0.125
20260525_060446__oracle_acc075_cost1_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_extra_500k,finished,Sokoban-small-v0,1,1.0,,0.75,False,500000,0.06,-3.897,0.27941176470588236,0.125,0.3
20260525_060622__oracle_acc100_cost05_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_extra_500k,finished,Sokoban-small-v0,1,0.5,,1.0,False,500000,0.9,4.675000000000002,77.29977290439751,10.175,0.9866517857142858
20260525_061127__oracle_acc050_cost05_500k__Sokoban-small-v0__seed1,sokoban_randomized_oracle_extra_500k,finished,Sokoban-small-v0,1,0.5,,0.5,False,500000,0.08,-3.230999999999999,4.358556835984807,1.4,0.3520833333333333
worldcoder_baseline_2m_64env__Sokoban-small-v0__seed1__1779649799,worldcoder_2m,crashed,Sokoban-small-v0,1,0.0,,,True,2000000,,-4.999999999999998,0.0,0.0,
worldcoder_baseline_2m_64env__Sokoban-small-v0__seed1__1779650629,worldcoder_2m,finished,Sokoban-small-v0,1,0.0,,,True,2000000,0.1,-3.753,0.0,0.0,
worldcoder_baseline_2m_64env__Sokoban-small-v0__seed1__1779659516,worldcoder_2m,finished,Sokoban-small-v0,1,0.0,,,True,2000000,,-4.999999999999998,0.0,0.0,
