episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,80,-1.9,0.0,20.0,2,0.0,0.0,6,
2,88,10.9,1.0,27.27,3,0.0,0.3333,7,
3,104,-1.1,0.0,33.33,1,0.0,0.0,9,
4,216,-2.6,0.0,3.7,1,0.0,0.0,19,
5,272,8.6,1.0,8.82,3,0.0,0.0,26,
6,288,-3.5,0.0,5.56,2,0.0,0.0,28,
7,312,-1.3,0.0,20.0,1,0.0,0.0,29,
8,352,7.6,1.0,15.91,7,0.0,0.0,36,
9,424,8.1,1.0,17.5,7,0.0,0.4286,44,
10,440,-5.2,0.0,2.27,1,0.0,0.0,46,
11,488,-7.0,0.0,9.84,6,0.0,0.0,49,
12,568,-4.3,0.0,8.57,3,0.0,0.3333,61,
13,584,-2.8,0.0,10.0,2,0.0,0.0,64,
14,688,-5.5,0.0,21.28,10,0.0,0.0,77,
15,768,-4.3,0.0,11.43,4,0.0,0.25,84,
16,768,-1.8,0.0,20.0,2,0.0,0.0,84,
17,880,-7.4,0.0,1.52,1,0.0,0.0,95,
18,968,-4.6,0.0,6.25,3,0.0,0.0,100,
19,1000,-3.7,0.0,3.45,1,0.0,0.0,103,
20,1016,-6.4,0.0,10.71,6,0.0,0.3333,106,
21,1064,8.4,1.0,16.22,6,2.13317,0.1667,109,
22,1168,-11.7,0.0,11.76,14,2.13317,0.1429,114,
23,1176,-4.5,0.0,8.11,3,2.13317,0.3333,115,
24,1248,-2.7,0.0,10.34,3,2.13317,0.0,119,
25,1296,8.4,1.0,2.7,1,2.13317,0.0,121,
26,1320,-5.2,0.0,2.27,1,2.13317,0.0,122,
27,1488,-2.9,0.0,4.76,1,2.13317,0.0,133,
28,1520,-6.5,0.0,12.28,7,2.13317,0.5714,135,
29,1600,-19.0,0.0,10.0,20,2.13317,0.3,143,
30,1648,6.2,1.0,6.78,4,2.13317,0.5,147,
31,1696,-7.4,0.0,7.58,5,2.13317,0.0,153,
32,1832,7.8,1.0,2.33,1,2.13317,0.0,163,
33,1856,-7.4,0.0,7.89,6,2.13317,0.1667,164,
34,2048,-19.0,0.0,4.98,10,2.13317,0.0,173,
35,2304,-6.7,0.0,3.39,2,2.19001,0.0,185,
36,2408,5.2,1.0,5.8,4,2.19001,0.0,192,
37,2480,-11.8,0.0,6.36,7,2.19001,0.1429,196,
38,2496,-0.1,0.0,4.1,5,2.19001,0.4,197,
39,2656,-13.4,0.0,7.94,10,2.19001,0.2,206,
40,2904,-20.0,0.0,8.96,18,2.19001,0.1667,215,
41,2912,-15.0,0.0,3.29,5,2.19001,0.2,217,
42,3344,-12.5,0.0,0.85,1,1.51483,0.0,223,
43,3568,-18.8,0.0,3.68,7,1.51483,0.1429,226,
44,3712,-16.2,0.0,2.6,4,1.51483,0.0,229,
45,3912,-19.0,0.0,1.99,4,1.51483,0.25,231,
46,4040,-15.0,0.0,1.41,2,1.51483,0.0,234,
47,4104,-20.0,0.0,2.49,5,1.99274,0.8,235,
48,4184,-16.7,0.0,1.89,3,1.99274,0.6667,237,
49,4192,-20.0,0.0,3.65,7,1.99274,0.2857,239,
50,4424,7.3,1.0,2.08,1,1.99274,0.0,243,
51,4952,-20.0,0.0,2.49,5,1.99274,0.0,252,
52,5176,-19.0,0.0,1.99,4,1.5917,0.0,254,
53,5320,-20.0,0.0,1.0,2,1.5917,0.0,254,
54,5520,-20.0,0.0,0.0,0,1.5917,,255,
55,5712,-19.0,0.0,1.49,3,1.5917,0.0,256,
56,5792,-20.0,0.0,1.99,4,1.5917,0.25,256,
57,5800,-20.0,0.0,0.5,1,1.5917,0.0,256,
58,6032,-20.0,0.0,1.99,4,1.5917,0.0,258,
59,6560,-20.0,0.0,1.0,2,2.00381,0.0,263,
60,6784,-20.0,0.0,0.5,1,2.00381,0.0,264,
61,6928,-20.0,0.0,0.0,0,2.00381,,265,
62,7128,-20.0,0.0,0.5,1,2.00381,0.0,266,
63,7320,-19.0,0.0,0.5,1,1.64382,1.0,266,
64,7400,-19.0,0.0,0.5,1,1.64382,0.0,269,
65,7408,-20.0,0.0,1.49,3,1.64382,0.0,270,
66,7640,-20.0,0.0,1.0,2,1.64382,0.0,273,
67,8168,-19.0,0.0,2.49,5,1.64382,0.6,280,
68,8232,1.7,1.0,0.0,0,1.55782,,280,68
69,8392,-20.0,0.0,1.49,3,1.55782,0.0,280,
70,8536,-20.0,0.0,0.5,1,1.55782,1.0,281,
71,8696,-20.4,0.0,0.51,1,1.55782,0.0,282,
72,8928,-20.0,0.0,0.5,1,1.55782,1.0,282,
73,9016,-20.0,0.0,0.5,1,1.55782,0.0,282,
74,9064,-18.6,0.0,2.25,4,1.55782,0.25,283,
75,9376,-14.9,0.0,0.66,1,0.89991,0.0,284,
76,9840,-20.0,0.0,0.0,0,0.89991,,284,
77,10000,-20.0,0.0,0.0,0,0.89991,,285,
78,10144,-20.0,0.0,0.0,0,0.89991,,286,
79,10304,-20.0,0.0,1.0,2,1.8683,0.0,287,
80,10536,-20.0,0.0,0.0,0,1.8683,,287,
81,10592,-20.5,0.0,0.51,1,1.8683,0.0,290,
82,10672,-19.0,0.0,0.0,0,1.8683,,292,
83,10984,-19.0,0.0,0.5,1,1.8683,0.0,303,
84,11096,5.1,1.0,2.86,2,1.8683,0.0,304,
85,11232,-18.2,0.0,2.87,5,1.8683,0.0,307,
86,11608,-20.0,0.0,1.0,2,1.5645,0.0,308,
87,11752,-20.0,0.0,3.98,8,1.5645,0.125,308,
88,11912,-20.0,0.0,1.0,2,1.5645,0.5,309,
89,12200,-19.0,0.0,0.0,0,1.5645,,309,
90,12280,-20.0,0.0,0.0,0,1.5645,,309,
91,12592,-20.0,0.0,1.0,2,0.0,0.5,311,
92,12704,-19.0,0.0,0.5,1,0.0,0.0,312,
93,12840,-20.0,0.0,0.0,0,0.0,,312,
