episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,80,-1.95,0.0,20.0,2,0.0,0.0,6,
2,88,10.75,1.0,27.27,3,0.0,0.3333,7,
3,104,-1.1,0.0,33.33,1,0.0,0.0,9,
4,216,-2.6,0.0,3.7,1,0.0,0.0,19,
5,272,8.45,1.0,8.82,3,0.0,0.0,26,
6,288,-3.55,0.0,5.56,2,0.0,0.0,28,
7,312,-1.3,0.0,20.0,1,0.0,0.0,29,
8,352,7.25,1.0,15.91,7,0.0,0.0,36,
9,424,7.75,1.0,17.5,7,0.0,0.4286,44,
10,440,-5.2,0.0,2.27,1,0.0,0.0,46,
11,488,-7.25,0.0,9.84,6,0.0,0.0,49,
12,568,-4.4,0.0,8.57,3,0.0,0.3333,61,
13,584,-2.85,0.0,10.0,2,0.0,0.0,64,
14,688,-5.95,0.0,21.28,10,0.0,0.0,77,
15,768,-4.45,0.0,11.43,4,0.0,0.25,84,
16,768,-1.85,0.0,20.0,2,0.0,0.0,84,
17,880,-7.4,0.0,1.52,1,0.0,0.0,95,
18,968,-4.7,0.0,6.25,3,0.0,0.0,100,
19,1000,-3.7,0.0,3.45,1,0.0,0.0,103,
20,1016,-6.65,0.0,10.71,6,0.0,0.3333,106,
21,1064,8.1,1.0,16.22,6,2.12824,0.1667,109,
22,1168,-12.35,0.0,11.76,14,2.12824,0.1429,114,
23,1176,-4.6,0.0,8.11,3,2.12824,0.3333,115,
24,1248,-2.8,0.0,10.34,3,2.12824,0.0,119,
25,1296,8.35,1.0,2.7,1,2.12824,0.0,121,
26,1320,-5.2,0.0,2.27,1,2.12824,0.0,122,
27,1488,-2.9,0.0,4.76,1,2.12824,0.0,133,
28,1520,-6.8,0.0,12.28,7,2.12824,0.5714,135,
29,1600,-20.0,0.0,10.0,20,2.12824,0.3,143,
30,1696,-7.6,0.0,7.58,5,2.12824,0.0,152,
31,1728,4.9,1.0,8.7,6,2.12824,0.3333,156,
32,1832,7.75,1.0,2.33,1,2.12824,0.0,162,
33,1856,-7.65,0.0,7.89,6,2.12824,0.1667,163,
34,1896,7.2,1.0,8.51,4,2.12824,0.5,166,
35,2048,-19.5,0.0,4.98,10,2.12824,0.0,172,
36,2088,-5.75,0.0,4.08,2,2.10135,0.0,174,
37,2304,-6.75,0.0,3.39,2,2.10135,0.0,184,
38,2352,8.2,1.0,5.26,2,2.10135,0.0,189,
39,2408,5.0,1.0,5.8,4,2.10135,0.0,191,
40,2480,0.75,1.0,6.36,7,2.10135,0.1429,195,
41,2592,-17.75,0.0,9.88,16,2.10135,0.125,203,
42,2656,-12.75,0.0,6.9,8,2.10135,0.25,206,
43,2672,-3.25,0.0,8.33,2,2.10135,0.0,207,
44,2784,-3.2,0.0,4.17,1,2.10135,0.0,210,
45,2848,-3.2,0.0,4.17,1,2.10135,0.0,212,
46,3016,-12.55,0.0,3.45,4,2.10135,0.0,221,
47,3024,-5.2,0.0,2.27,1,2.10135,0.0,222,
48,3064,2.9,1.0,6.74,6,2.10135,0.0,224,
49,3344,-12.5,0.0,0.85,1,2.20911,0.0,227,
50,3432,-15.05,0.0,2.84,4,2.20911,0.0,228,
51,3480,10.35,1.0,5.88,1,2.20911,0.0,229,
52,3504,-19.35,0.0,3.48,7,2.20911,0.0,229,
53,3712,-9.4,0.0,1.16,1,2.20911,0.0,235,
54,4392,-20.1,0.0,1.0,2,2.14666,0.0,250,
55,4456,-20.3,0.0,2.99,6,2.14666,0.5,250,
56,4472,-6.5,0.0,4.4,8,2.14666,0.125,252,
57,4480,-5.85,0.0,2.82,5,2.14666,0.0,253,
58,4600,-13.55,0.0,1.46,2,2.14666,0.0,255,
59,4736,-4.35,0.0,5.71,2,2.14666,0.5,257,
60,4848,-2.9,0.0,3.23,1,2.14666,0.0,260,
61,5040,-20.0,0.0,0.0,0,2.14666,,262,
62,5088,-20.2,0.0,1.99,4,2.14666,0.25,263,
63,5216,-18.75,0.0,2.13,4,2.11407,0.0,265,
64,5824,-16.8,0.0,1.78,3,2.11407,0.0,274,
65,5928,-11.9,0.0,0.9,1,2.11407,0.0,278,
66,6000,-20.25,0.0,2.49,5,2.11407,0.4,280,
67,6088,-20.3,0.0,2.99,6,2.11407,0.1667,280,
68,6104,-16.55,0.0,1.27,2,2.11407,0.0,281,
69,6176,-3.9,0.0,3.23,1,1.70642,0.0,283,
70,6344,-20.1,0.0,1.0,2,1.70642,0.5,284,
71,6352,-5.2,0.0,2.27,1,1.70642,0.0,285,
72,6696,-20.15,0.0,1.49,3,1.70642,0.6667,285,
73,6824,-20.1,0.0,1.0,2,1.70642,0.0,285,
74,7432,-19.0,0.0,0.0,0,1.50201,,286,
75,7696,-20.0,0.0,0.0,0,1.50201,,286,
76,7712,-20.05,0.0,0.5,1,1.50201,0.0,286,
77,7784,-20.0,0.0,0.0,0,1.50201,,286,
78,7952,-20.0,0.0,0.0,0,1.50201,,287,
79,7960,-20.0,0.0,0.0,0,1.50201,,287,
80,8152,-3.2,0.0,4.17,1,1.50201,1.0,290,
81,8304,-20.1,0.0,1.0,2,1.47298,0.0,290,
82,8432,-20.05,0.0,0.5,1,1.47298,0.0,290,
83,9040,-20.0,0.0,0.0,0,1.47298,,291,
84,9304,-20.05,0.0,0.5,1,0.0,0.0,292,
85,9320,-20.05,0.0,0.5,1,0.0,0.0,292,
86,9376,-14.2,0.0,0.75,1,0.0,1.0,293,
87,9392,-20.0,0.0,0.0,0,0.0,,293,
88,9560,-20.0,0.0,0.0,0,0.0,,293,
89,9712,8.1,1.0,0.0,0,0.0,,293,89
90,9760,-20.05,0.0,0.5,1,0.0,0.0,293,
91,9928,-8.4,0.0,1.32,1,0.0,1.0,294,
92,10040,-20.0,0.0,0.0,0,0.0,,295,
93,10648,-20.0,0.0,0.0,0,2.3779,,299,
94,10912,-20.0,0.0,0.0,0,2.3779,,302,
95,10920,-4.2,0.0,2.94,1,2.3779,1.0,303,
96,10960,-20.6,0.0,0.51,1,2.3779,1.0,304,
97,11168,-20.05,0.0,0.5,1,2.3779,0.0,304,
98,11320,-20.15,0.0,1.49,3,2.25296,0.0,304,
99,11368,-20.0,0.0,0.0,0,2.25296,,304,
100,11536,-20.15,0.0,1.49,3,2.25296,0.0,305,
101,11648,-20.15,0.0,1.49,3,2.25296,0.0,307,
102,11712,-7.6,0.0,1.47,1,2.25296,1.0,308,
103,12016,-14.0,0.0,0.76,1,2.25296,1.0,311,
104,12360,-13.85,0.0,1.54,2,1.35824,0.5,313,
105,12520,-20.0,0.0,0.0,0,1.35824,,315,
106,12528,-19.0,0.0,0.0,0,1.35824,,315,
107,12824,-16.9,0.0,0.62,1,1.35824,1.0,320,
108,12888,-7.4,0.0,1.52,1,1.35824,1.0,321,
109,12976,-20.05,0.0,0.5,1,1.35824,0.0,321,
110,13256,-20.05,0.0,0.5,1,1.35824,0.0,324,
111,13320,-20.05,0.0,0.5,1,1.72714,0.0,324,
112,13624,-20.25,0.0,2.49,5,1.72714,0.2,327,
113,14128,-20.1,0.0,1.0,2,1.72714,0.0,332,
114,14136,-20.1,0.0,1.0,2,1.72714,0.0,332,
115,14264,-18.15,0.0,2.33,4,1.72714,0.5,334,
116,14432,-19.1,0.0,1.0,2,1.71509,0.0,335,
117,14504,-3.8,0.0,3.33,1,1.71509,0.0,336,
118,14584,-19.1,0.0,1.0,2,1.71509,0.0,337,
119,14864,-20.1,0.0,1.0,2,1.71509,0.0,339,
120,14928,-20.0,0.0,0.0,0,1.71509,,341,
121,15232,-20.0,0.0,0.0,0,1.71509,,344,
122,15512,4.7,1.0,2.74,2,2.59191,0.0,346,
123,15528,-13.55,0.0,1.46,2,2.59191,0.0,347,
124,15736,-19.2,0.0,1.99,4,2.59191,0.0,348,
125,15744,-19.15,0.0,1.49,3,2.59191,0.0,348,
126,15816,-16.2,0.0,0.65,1,2.59191,0.0,350,
127,15968,9.15,1.0,3.45,1,2.59191,0.0,353,
128,16112,-20.05,0.0,0.5,1,2.59191,0.0,355,
129,16184,-17.35,0.0,1.21,2,2.59191,0.0,356,
130,16448,-15.1,0.0,1.97,3,2.46262,0.0,360,
131,16504,-7.5,0.0,1.49,1,2.46262,0.0,361,
132,16632,-14.6,0.0,0.72,1,2.46262,1.0,362,
133,17120,-20.0,0.0,0.0,0,2.46262,,364,
134,17352,-19.2,0.0,1.99,4,2.46262,0.0,368,
135,17424,-19.2,0.0,1.99,4,1.43872,0.25,368,
136,17472,-17.85,0.0,1.18,2,1.43872,0.5,369,
137,17512,-12.4,0.0,0.79,1,1.43872,1.0,370,
138,17792,-20.0,0.0,0.0,0,1.43872,,372,
139,18056,-20.1,0.0,1.0,2,1.43872,0.0,372,
140,18240,-20.1,0.0,1.0,2,1.43872,0.0,374,
141,18328,0.8,1.0,0.0,0,1.43872,,374,
142,18728,-20.05,0.0,0.5,1,0.89452,0.0,374,
143,18864,-17.7,0.0,0.59,1,0.89452,1.0,375,
144,18960,-20.0,0.0,0.0,0,0.89452,,375,
145,19080,-19.0,0.0,0.0,0,0.89452,,375,
146,19352,-8.6,0.0,1.28,1,0.89452,1.0,377,
