episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,80,-2.0,0.0,20.0,2,0.0,0.0,6,
2,88,11.1,1.0,27.27,3,0.0,0.3333,7,
3,104,-1.2,0.0,33.33,1,0.0,0.0,9,
4,216,-2.5,0.0,3.7,1,0.0,0.0,19,
5,272,8.8,1.0,8.82,3,0.0,0.0,26,
6,288,-3.5,0.0,5.56,2,0.0,0.0,28,
7,312,-1.4,0.0,20.0,1,0.0,0.0,29,
8,352,7.9,1.0,15.91,7,0.0,0.0,36,
9,424,8.6,1.0,17.5,7,0.0,0.4286,44,
10,440,-5.1,0.0,2.27,1,0.0,0.0,46,
11,488,-7.1,0.0,9.84,6,0.0,0.0,49,
12,568,-4.2,0.0,8.57,3,0.0,0.3333,61,
13,584,-2.8,0.0,10.0,2,0.0,0.0,64,
14,688,-5.5,0.0,21.28,10,0.0,0.0,77,
15,768,-4.2,0.0,11.43,4,0.0,0.25,84,
16,768,-1.6,0.0,20.0,2,0.0,0.0,84,
17,880,-7.5,0.0,1.52,1,0.0,0.0,95,
18,968,-4.5,0.0,6.25,3,0.0,0.0,100,
19,1000,-3.7,0.0,3.45,1,0.0,0.0,103,
20,1016,-6.4,0.0,10.71,6,0.0,0.3333,106,
21,1064,8.7,1.0,16.22,6,0.0,0.1667,109,
22,1136,-3.9,0.0,12.5,4,0.0,0.5,117,
23,1136,-11.3,0.0,12.17,14,0.0,0.1429,117,
24,1248,9.5,1.0,10.34,3,0.0,0.0,128,
25,1296,8.6,1.0,8.11,3,0.0,0.0,132,
26,1400,-4.0,0.0,9.09,3,0.0,0.0,143,
27,1600,-18.6,0.0,10.5,21,0.0,0.381,169,
28,1696,-2.1,0.0,8.33,1,0.0,0.0,185,
29,1944,-10.9,0.0,10.89,11,0.0,0.0909,216,
30,2048,-7.6,0.0,8.96,18,0.0,0.0,226,
31,2104,-5.9,0.0,7.84,4,0.0,0.0,232,
32,2192,1.1,1.0,18.75,21,0.0,0.2857,246,
33,2400,-3.3,0.0,7.69,2,0.0,0.0,273,
34,2520,-7.0,0.0,15.28,11,0.0,0.0909,293,
35,2576,-18.3,0.0,9.45,19,0.0,0.0,300,
36,2592,-3.2,0.0,20.83,5,0.0,0.4,304,
37,2648,-1.6,0.0,28.57,2,0.0,0.0,310,
38,2664,-7.2,0.0,16.0,32,0.0,0.0,312,
39,2712,-9.1,0.0,10.84,9,0.0,0.0,316,
40,2856,-20.2,0.0,13.93,28,0.0,0.1429,335,
41,2856,-3.5,0.0,11.54,3,0.0,0.0,335,
42,2872,2.8,1.0,12.5,12,0.0,0.0,337,
43,2904,-5.6,0.0,14.58,7,0.0,0.1429,343,
44,2912,-3.9,0.0,12.9,4,0.0,0.25,345,
45,3008,-20.0,0.0,12.44,25,0.0,0.0,360,
46,3208,-8.8,0.0,10.13,8,0.0,0.25,381,
47,3240,-5.7,0.0,8.33,4,0.0,0.0,386,
48,3296,7.4,1.0,16.98,9,0.0,0.0,396,
49,3344,6.4,1.0,13.11,8,0.0,0.0,406,
50,3352,6.8,1.0,12.5,7,0.0,0.0,408,
51,3400,7.5,1.0,14.29,7,0.0,0.0,413,
52,3488,9.5,1.0,22.58,7,0.0,0.0,428,
53,3568,-11.4,0.0,12.15,13,0.0,0.0,438,
54,3632,-4.4,0.0,19.44,7,0.0,0.0,441,
55,3640,7.1,1.0,20.37,11,0.0,0.0,443,
56,3640,-3.6,0.0,3.33,1,0.0,0.0,443,
57,3656,8.5,1.0,18.42,7,0.0,0.0,448,
58,3680,11.7,1.0,33.33,2,0.0,0.0,451,
59,3712,-5.9,0.0,13.46,7,0.0,0.2857,454,
60,3784,9.6,1.0,18.52,5,0.0,0.0,466,
61,3896,9.3,1.0,20.0,6,0.0,0.0,485,
62,3912,-4.3,0.0,11.76,4,0.0,0.0,489,
63,3944,10.3,1.0,25.0,5,0.0,0.0,497,
64,4016,-4.9,0.0,14.29,6,0.0,0.0,514,
65,4048,-6.2,0.0,19.61,10,0.0,0.0,525,
66,4072,-2.8,0.0,15.0,3,0.0,0.0,529,
67,4096,-2.3,0.0,18.24,27,0.0,0.0741,532,
68,4136,-3.0,0.0,33.33,8,0.0,0.0,542,
69,4200,-1.7,0.0,12.5,1,0.0,0.0,557,
70,4320,10.8,1.0,33.33,5,0.0,0.0,584,
71,4344,8.9,1.0,14.71,5,0.0,0.4,588,
72,4368,-4.1,0.0,20.59,7,0.0,0.1429,595,
73,4400,11.7,1.0,28.57,2,0.0,0.0,601,
74,4440,3.4,1.0,23.08,21,0.0,0.0476,611,
75,4440,-5.5,0.0,16.33,8,0.0,0.0,611,
76,4488,6.8,1.0,22.03,13,0.0,0.2308,621,
77,4560,-13.0,0.0,19.4,26,0.0,0.0,628,
78,4568,-4.1,0.0,22.58,7,0.0,0.0,629,
79,4672,11.0,1.0,15.38,2,0.0,0.5,655,
80,4696,-4.1,0.0,12.5,4,0.0,0.0,659,
81,4840,7.1,1.0,29.09,16,0.0,0.0,684,
82,4856,6.3,1.0,27.87,17,0.0,0.0588,689,
83,4896,-0.1,0.0,16.8,21,0.0,0.0476,697,
84,4936,9.2,1.0,30.3,10,0.0,0.2,708,
85,5008,-7.1,0.0,15.38,10,0.0,0.1,718,
86,5128,-3.4,0.0,25.0,9,0.0,0.0,742,
87,5224,-4.4,0.0,16.67,6,0.0,0.0,764,
88,5240,-5.0,0.0,13.95,6,0.0,0.0,768,
89,5240,3.8,1.0,22.35,19,0.0,0.0,768,
90,5304,-1.5,0.0,37.5,3,0.0,0.0,780,
91,5376,-3.8,0.0,6.45,2,0.0,0.0,795,
92,5384,5.9,1.0,24.24,16,0.0,0.0625,798,
93,5392,7.7,1.0,29.17,14,0.0,0.0,800,
94,5424,3.3,1.0,19.78,18,0.0,0.0,805,
95,5488,-4.0,0.0,12.9,4,0.0,0.0,817,
96,5520,-13.1,0.0,14.81,20,0.0,0.0,822,
97,5568,-1.8,0.0,18.18,4,0.0,0.0,828,
98,5568,-2.8,0.0,22.22,4,0.0,0.25,828,
99,5576,-5.2,0.0,18.18,8,0.0,0.0,830,
100,5664,-2.0,0.0,41.67,5,0.0,0.0,854,
101,5712,-4.8,0.0,26.83,11,0.0,0.0909,866,
102,5784,11.5,1.0,22.22,2,0.0,0.0,882,
103,5784,-4.3,0.0,24.24,8,0.0,0.125,882,
104,5784,9.7,1.0,22.22,6,0.0,0.0,882,
105,5800,7.0,1.0,22.64,12,0.0,0.0,888,
106,5824,-3.8,0.0,25.81,8,0.0,0.0,891,
107,5872,-0.9,0.0,18.18,2,0.0,0.5,901,
108,5872,11.2,1.0,18.18,2,0.0,0.0,901,
109,5944,-3.2,0.0,17.14,6,0.0,0.0,916,
110,6048,9.3,1.0,9.68,3,0.0,0.0,935,
111,6120,11.4,1.0,33.33,3,0.0,0.3333,954,
112,6136,-3.2,0.0,16.67,4,0.0,0.0,956,
113,6144,9.0,1.0,29.41,10,0.0,0.1,957,
114,6168,-1.4,0.0,33.33,2,0.0,0.0,966,
115,6272,2.7,1.0,24.49,24,0.0,0.0417,990,
116,6312,-6.4,0.0,21.82,12,0.0,0.0,998,
117,6312,5.8,1.0,22.73,15,0.0,0.0667,998,
118,6416,-4.2,0.0,17.14,6,0.0,0.1667,1020,
119,6432,-4.4,0.0,16.67,6,0.0,0.0,1023,
120,6456,-1.8,0.0,20.83,30,0.0,0.1,1025,
121,6520,4.0,1.0,21.84,19,0.0,0.1053,1042,
122,6520,-3.9,0.0,16.13,5,0.0,0.0,1042,
123,6528,9.6,1.0,25.93,7,0.0,0.1429,1045,
124,6560,-1.2,0.0,50.0,2,0.0,0.5,1053,
125,6584,-1.8,0.0,14.29,3,0.0,0.0,1055,
126,6584,11.5,1.0,37.5,3,0.0,0.0,1055,
127,6600,-2.7,0.0,22.22,4,0.0,0.0,1060,
128,6696,-4.2,0.0,15.15,5,0.0,0.2,1078,
129,6736,-3.0,0.0,9.09,2,0.0,0.0,1084,
130,6752,-1.6,0.0,28.57,2,0.0,0.0,1088,
131,6816,-3.8,0.0,17.24,5,0.0,0.0,1102,
132,6832,-9.2,0.0,15.66,13,0.0,0.0769,1103,
133,6872,5.3,1.0,27.14,19,0.0,0.0,1111,
134,6880,10.5,1.0,22.22,4,0.0,0.0,1114,
135,6976,9.6,1.0,17.86,5,0.0,0.0,1131,
136,7000,10.9,1.0,20.0,3,0.0,0.3333,1138,
137,7048,-6.5,0.0,22.41,13,0.0,0.0,1147,
138,7048,9.7,1.0,22.22,6,0.0,0.0,1147,
139,7056,5.9,1.0,22.39,15,0.0,0.1333,1149,
140,7072,6.7,1.0,25.42,15,0.0,0.0,1151,
141,7088,11.8,1.0,60.0,3,0.0,0.0,1157,
142,7184,7.8,1.0,21.74,10,0.0,0.0,1174,
143,7192,-1.1,0.0,15.38,2,0.0,0.5,1177,
144,7248,9.8,1.0,24.0,6,0.0,0.0,1193,
145,7272,-4.1,0.0,17.65,6,0.0,0.0,1197,
146,7328,11.5,1.0,40.0,4,0.0,0.0,1214,
147,7344,8.9,1.0,27.78,10,0.0,0.0,1218,
148,7368,-6.9,0.0,16.13,10,0.0,0.0,1223,
149,7440,7.8,1.0,28.26,13,0.0,0.0769,1246,
150,7456,9.0,1.0,23.53,8,0.0,0.0,1249,
151,7576,8.8,1.0,28.95,11,0.0,0.1818,1281,
152,7768,2.9,1.0,19.19,19,0.0,0.1579,1326,
153,7800,7.3,1.0,27.78,15,0.0,0.2,1333,
154,7800,-3.6,0.0,25.0,7,0.0,0.0,1333,
155,7824,-5.4,0.0,23.91,11,0.0,0.0,1338,
156,7920,5.4,1.0,28.38,21,0.0,0.0476,1364,
157,7952,10.7,1.0,50.0,8,0.0,0.0,1374,
158,7992,-2.1,0.0,29.17,7,0.0,0.0,1385,
159,8040,4.9,1.0,26.67,20,0.0,0.05,1403,
160,8120,3.0,1.0,21.65,21,0.0,0.0,1422,
161,8144,10.5,1.0,47.37,9,0.0,0.2222,1425,
162,8176,-5.5,0.0,21.28,10,0.0,0.0,1436,
163,8200,-6.3,0.0,18.52,10,0.0,0.0,1444,
164,8200,-13.4,0.0,26.98,34,0.0,0.0588,1444,
165,8240,8.8,1.0,30.56,11,0.0,0.0,1462,
166,8256,11.8,1.0,71.43,5,0.0,0.4,1468,
167,8360,9.7,1.0,44.44,12,0.0,0.0,1502,
168,8376,11.0,1.0,33.33,5,0.0,0.2,1510,
169,8384,6.8,1.0,29.31,17,0.0,0.0588,1513,
170,8392,-2.9,0.0,29.41,10,0.0,0.3,1514,
171,8400,-2.8,0.0,30.0,6,0.0,0.1667,1520,
172,8432,9.5,1.0,44.83,13,0.0,0.0,1532,
173,8504,10.6,1.0,38.89,7,0.0,0.0,1557,
174,8536,8.2,1.0,26.67,12,0.0,0.0,1571,
175,8592,5.8,1.0,37.68,26,0.0,0.0769,1585,
176,8592,-1.8,0.0,30.0,6,0.0,0.0,1585,
177,8600,9.8,1.0,29.63,8,0.0,0.375,1586,
178,8616,9.6,1.0,46.67,14,0.0,0.0,1596,
179,8616,12.0,1.0,66.67,2,0.0,0.0,1596,
180,8640,11.0,1.0,38.46,5,0.0,0.0,1606,
181,8720,8.3,1.0,34.15,14,0.0,0.0,1639,
182,8728,11.4,1.0,36.36,4,0.0,0.5,1643,
183,8744,8.2,1.0,32.56,14,0.0,0.0714,1647,
184,8768,10.7,1.0,52.63,10,0.0,0.0,1655,
185,8800,9.9,1.0,30.77,8,0.0,0.25,1667,
186,8808,11.5,1.0,37.5,3,0.0,0.6667,1669,
187,8864,10.6,1.0,44.44,8,0.0,0.125,1688,
188,8864,9.3,1.0,45.16,14,0.0,0.0,1688,
189,8896,11.9,1.0,75.0,3,0.0,0.3333,1696,
190,8912,11.0,1.0,35.71,5,0.0,0.4,1703,
191,8920,-3.1,0.0,16.67,4,0.0,0.25,1706,
192,9008,-4.8,0.0,29.41,15,0.0,0.2,1727,
193,9048,-6.5,0.0,27.94,19,0.0,0.0,1741,
194,9080,9.7,1.0,48.15,13,0.0,0.0769,1759,
