episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,cum_queries,first_unguided_success
1,200,-5.0,0.0,0.0,0,,0,
2,200,-5.0,0.0,0.0,0,,0,
3,200,-5.0,0.0,0.0,0,,0,
4,200,-5.0,0.0,0.0,0,,0,
5,404,-5.0,0.0,0.0,0,,0,
6,404,-4.0,0.0,0.0,0,,0,
7,404,-4.0,0.0,0.0,0,,0,
8,404,-5.0,0.0,0.0,0,,0,
9,608,-5.0,0.0,0.0,0,,0,
10,608,-5.0,0.0,0.0,0,,0,
11,608,-5.0,0.0,0.0,0,,0,
12,608,-5.0,0.0,0.0,0,,0,
13,812,-4.0,0.0,0.0,0,,0,
14,812,-4.0,0.0,0.0,0,,0,
15,812,-4.0,0.0,0.0,0,,0,
16,812,-5.0,0.0,0.0,0,,0,
17,1016,-5.0,0.0,0.0,0,,0,
18,1016,-5.0,0.0,0.0,0,,0,
19,1016,-4.0,0.0,0.0,0,,0,
20,1016,-5.0,0.0,0.0,0,,0,
21,1220,-5.0,0.0,0.0,0,,0,
22,1220,-5.0,0.0,0.0,0,,0,
23,1220,-5.0,0.0,0.0,0,,0,
24,1220,-4.0,0.0,0.0,0,,0,
25,1424,-5.0,0.0,0.0,0,,0,
26,1424,-4.0,0.0,0.0,0,,0,
27,1424,-4.0,0.0,0.0,0,,0,
28,1424,-5.0,0.0,0.0,0,,0,
29,1628,-5.0,0.0,0.0,0,,0,
30,1628,-5.0,0.0,0.0,0,,0,
31,1628,-5.0,0.0,0.0,0,,0,
32,1628,-4.0,0.0,0.0,0,,0,
33,1832,-5.0,0.0,0.0,0,,0,
34,1832,-5.0,0.0,0.0,0,,0,
35,1832,-5.0,0.0,0.0,0,,0,
36,1832,-4.0,0.0,0.0,0,,0,
37,2036,-5.0,0.0,0.0,0,,0,
38,2036,-4.0,0.0,0.0,0,,0,
39,2036,-5.0,0.0,0.0,0,,0,
40,2036,-5.0,0.0,0.0,0,,0,
41,2240,-5.0,0.0,0.0,0,,0,
42,2240,-5.0,0.0,0.0,0,,0,
43,2240,-5.0,0.0,0.0,0,,0,
44,2240,-5.0,0.0,0.0,0,,0,
45,2444,-5.0,0.0,0.0,0,,0,
46,2444,-5.0,0.0,0.0,0,,0,
47,2444,-5.0,0.0,0.0,0,,0,
48,2444,-5.0,0.0,0.0,0,,0,
49,2464,11.6,1.0,0.0,0,,0,49
50,2532,9.9,1.0,0.0,0,,0,
51,2648,-5.0,0.0,0.0,0,,0,
52,2648,-5.0,0.0,0.0,0,,0,
53,2668,-5.0,0.0,0.0,0,,0,
54,2736,-4.0,0.0,0.0,0,,0,
55,2852,-5.0,0.0,0.0,0,,0,
56,2852,-5.0,0.0,0.0,0,,0,
57,2872,-5.0,0.0,0.0,0,,0,
58,2940,-4.0,0.0,0.0,0,,0,
59,3056,-5.0,0.0,0.0,0,,0,
60,3056,-4.0,0.0,0.0,0,,0,
61,3076,-5.0,0.0,0.0,0,,0,
62,3144,-5.0,0.0,0.0,0,,0,
63,3260,-4.0,0.0,0.0,0,,0,
64,3260,-5.0,0.0,0.0,0,,0,
65,3280,-5.0,0.0,0.0,0,,0,
66,3348,-4.0,0.0,0.0,0,,0,
67,3464,-4.0,0.0,0.0,0,,0,
68,3464,-5.0,0.0,0.0,0,,0,
69,3484,-5.0,0.0,0.0,0,,0,
70,3552,-5.0,0.0,0.0,0,,0,
71,3668,-4.0,0.0,0.0,0,,0,
72,3668,-5.0,0.0,0.0,0,,0,
73,3688,-5.0,0.0,0.0,0,,0,
74,3756,-4.0,0.0,0.0,0,,0,
75,3872,-5.0,0.0,0.0,0,,0,
76,3872,-4.0,0.0,0.0,0,,0,
77,3892,-5.0,0.0,0.0,0,,0,
78,3960,-5.0,0.0,0.0,0,,0,
79,4076,-5.0,0.0,0.0,0,,0,
80,4076,-4.0,0.0,0.0,0,,0,
81,4096,-5.0,0.0,0.0,0,,0,
