episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,cum_queries,first_unguided_success
1,192,11.4,1.0,0.0,0,,0,1
2,1216,8.2,1.0,0.0,0,,0,
3,1408,7.6,1.0,0.0,0,,0,
4,1600,-4.0,0.0,0.0,0,,0,
5,1600,-5.0,0.0,0.0,0,,0,
6,1600,-5.0,0.0,0.0,0,,0,
7,1600,-4.0,0.0,0.0,0,,0,
8,1600,-5.0,0.0,0.0,0,,0,
9,1600,-4.0,0.0,0.0,0,,0,
10,1600,-5.0,0.0,0.0,0,,0,
11,1600,-5.0,0.0,0.0,0,,0,
12,1600,-5.0,0.0,0.0,0,,0,
13,1600,-4.0,0.0,0.0,0,,0,
14,1600,-5.0,0.0,0.0,0,,0,
15,1600,-5.0,0.0,0.0,0,,0,
16,1600,-4.0,0.0,0.0,0,,0,
17,1600,-5.0,0.0,0.0,0,,0,
18,1600,-5.0,0.0,0.0,0,,0,
19,1600,-4.0,0.0,0.0,0,,0,
20,1600,-4.0,0.0,0.0,0,,0,
21,1600,-5.0,0.0,0.0,0,,0,
22,1600,-5.0,0.0,0.0,0,,0,
23,1600,-5.0,0.0,0.0,0,,0,
24,1600,-5.0,0.0,0.0,0,,0,
25,1600,-4.0,0.0,0.0,0,,0,
26,1600,-5.0,0.0,0.0,0,,0,
27,1600,-5.0,0.0,0.0,0,,0,
28,1600,-5.0,0.0,0.0,0,,0,
29,1600,-4.0,0.0,0.0,0,,0,
30,1600,-5.0,0.0,0.0,0,,0,
31,1600,-5.0,0.0,0.0,0,,0,
32,1600,-5.0,0.0,0.0,0,,0,
33,1824,-5.0,0.0,0.0,0,,0,
34,1856,11.3,1.0,0.0,0,,0,
35,2848,-4.0,0.0,0.0,0,,0,
36,3040,-5.0,0.0,0.0,0,,0,
37,3232,-5.0,0.0,0.0,0,,0,
38,3232,-5.0,0.0,0.0,0,,0,
39,3232,-5.0,0.0,0.0,0,,0,
40,3232,-4.0,0.0,0.0,0,,0,
41,3232,-5.0,0.0,0.0,0,,0,
42,3232,-5.0,0.0,0.0,0,,0,
43,3232,-5.0,0.0,0.0,0,,0,
44,3232,-4.0,0.0,0.0,0,,0,
45,3232,-5.0,0.0,0.0,0,,0,
46,3232,-5.0,0.0,0.0,0,,0,
47,3232,-5.0,0.0,0.0,0,,0,
48,3232,-5.0,0.0,0.0,0,,0,
49,3232,-5.0,0.0,0.0,0,,0,
50,3232,-5.0,0.0,0.0,0,,0,
51,3232,-5.0,0.0,0.0,0,,0,
52,3232,-5.0,0.0,0.0,0,,0,
53,3232,-4.0,0.0,0.0,0,,0,
54,3232,-5.0,0.0,0.0,0,,0,
55,3232,-5.0,0.0,0.0,0,,0,
56,3232,-4.0,0.0,0.0,0,,0,
57,3232,-5.0,0.0,0.0,0,,0,
58,3232,-5.0,0.0,0.0,0,,0,
59,3232,-5.0,0.0,0.0,0,,0,
60,3232,-4.0,0.0,0.0,0,,0,
61,3232,-5.0,0.0,0.0,0,,0,
62,3232,-4.0,0.0,0.0,0,,0,
63,3232,-5.0,0.0,0.0,0,,0,
64,3232,-5.0,0.0,0.0,0,,0,
65,3456,-5.0,0.0,0.0,0,,0,
66,3488,-5.0,0.0,0.0,0,,0,
67,4480,-5.0,0.0,0.0,0,,0,
68,4672,-5.0,0.0,0.0,0,,0,
69,4864,-5.0,0.0,0.0,0,,0,
70,4864,-5.0,0.0,0.0,0,,0,
71,4864,-5.0,0.0,0.0,0,,0,
72,4864,-5.0,0.0,0.0,0,,0,
73,4864,-5.0,0.0,0.0,0,,0,
74,4864,-5.0,0.0,0.0,0,,0,
75,4864,-5.0,0.0,0.0,0,,0,
76,4864,-5.0,0.0,0.0,0,,0,
77,4864,-4.0,0.0,0.0,0,,0,
78,4864,-4.0,0.0,0.0,0,,0,
79,4864,-5.0,0.0,0.0,0,,0,
80,4864,-5.0,0.0,0.0,0,,0,
81,4864,-4.0,0.0,0.0,0,,0,
82,4864,-5.0,0.0,0.0,0,,0,
83,4864,-4.0,0.0,0.0,0,,0,
84,4864,-4.0,0.0,0.0,0,,0,
85,4864,-5.0,0.0,0.0,0,,0,
86,4864,-5.0,0.0,0.0,0,,0,
87,4864,-4.0,0.0,0.0,0,,0,
88,4864,-5.0,0.0,0.0,0,,0,
89,4864,-4.0,0.0,0.0,0,,0,
90,4864,-4.0,0.0,0.0,0,,0,
91,4864,-5.0,0.0,0.0,0,,0,
92,4864,-5.0,0.0,0.0,0,,0,
93,4864,-5.0,0.0,0.0,0,,0,
94,4864,-5.0,0.0,0.0,0,,0,
95,4864,-4.0,0.0,0.0,0,,0,
96,4864,-4.0,0.0,0.0,0,,0,
97,5088,-5.0,0.0,0.0,0,,0,
98,5120,-5.0,0.0,0.0,0,,0,
99,6112,-5.0,0.0,0.0,0,,0,
100,6304,-5.0,0.0,0.0,0,,0,
101,6368,7.4,1.0,0.0,0,,0,
102,6496,-4.0,0.0,0.0,0,,0,
103,6496,-5.0,0.0,0.0,0,,0,
104,6496,-5.0,0.0,0.0,0,,0,
105,6496,-5.0,0.0,0.0,0,,0,
106,6496,-4.0,0.0,0.0,0,,0,
107,6496,-4.0,0.0,0.0,0,,0,
108,6496,-4.0,0.0,0.0,0,,0,
109,6496,-5.0,0.0,0.0,0,,0,
110,6496,-4.0,0.0,0.0,0,,0,
111,6496,-5.0,0.0,0.0,0,,0,
112,6496,-5.0,0.0,0.0,0,,0,
113,6496,-4.0,0.0,0.0,0,,0,
114,6496,-5.0,0.0,0.0,0,,0,
115,6496,-5.0,0.0,0.0,0,,0,
116,6496,-5.0,0.0,0.0,0,,0,
117,6496,-5.0,0.0,0.0,0,,0,
118,6496,-5.0,0.0,0.0,0,,0,
119,6496,-4.0,0.0,0.0,0,,0,
120,6496,-5.0,0.0,0.0,0,,0,
121,6496,-5.0,0.0,0.0,0,,0,
122,6496,-4.0,0.0,0.0,0,,0,
123,6496,-5.0,0.0,0.0,0,,0,
124,6496,-4.0,0.0,0.0,0,,0,
125,6496,-4.0,0.0,0.0,0,,0,
126,6496,-5.0,0.0,0.0,0,,0,
127,6496,-5.0,0.0,0.0,0,,0,
128,6496,-5.0,0.0,0.0,0,,0,
129,6720,-5.0,0.0,0.0,0,,0,
130,6752,-4.0,0.0,0.0,0,,0,
131,7744,-5.0,0.0,0.0,0,,0,
132,7936,-5.0,0.0,0.0,0,,0,
133,8000,-5.0,0.0,0.0,0,,0,
134,8128,-5.0,0.0,0.0,0,,0,
135,8128,-5.0,0.0,0.0,0,,0,
136,8128,-5.0,0.0,0.0,0,,0,
137,8128,-4.0,0.0,0.0,0,,0,
138,8128,-5.0,0.0,0.0,0,,0,
139,8128,-5.0,0.0,0.0,0,,0,
140,8128,-5.0,0.0,0.0,0,,0,
141,8128,-4.0,0.0,0.0,0,,0,
142,8128,-5.0,0.0,0.0,0,,0,
143,8128,-5.0,0.0,0.0,0,,0,
144,8128,-4.0,0.0,0.0,0,,0,
145,8128,-4.0,0.0,0.0,0,,0,
146,8128,-4.0,0.0,0.0,0,,0,
147,8128,-4.0,0.0,0.0,0,,0,
148,8128,-5.0,0.0,0.0,0,,0,
149,8128,-5.0,0.0,0.0,0,,0,
150,8128,-4.0,0.0,0.0,0,,0,
151,8128,-5.0,0.0,0.0,0,,0,
152,8128,-4.0,0.0,0.0,0,,0,
153,8128,-5.0,0.0,0.0,0,,0,
154,8128,-5.0,0.0,0.0,0,,0,
155,8128,-4.0,0.0,0.0,0,,0,
156,8128,-4.0,0.0,0.0,0,,0,
157,8128,-5.0,0.0,0.0,0,,0,
158,8128,-5.0,0.0,0.0,0,,0,
159,8128,-4.0,0.0,0.0,0,,0,
160,8128,-5.0,0.0,0.0,0,,0,
161,8352,-5.0,0.0,0.0,0,,0,
162,8384,-5.0,0.0,0.0,0,,0,
163,8416,11.2,1.0,0.0,0,,0,
164,8544,10.8,1.0,0.0,0,,0,
165,8672,10.4,1.0,0.0,0,,0,
166,9376,-5.0,0.0,0.0,0,,0,
167,9568,-5.0,0.0,0.0,0,,0,
168,9632,-4.0,0.0,0.0,0,,0,
169,9760,-5.0,0.0,0.0,0,,0,
170,9760,-4.0,0.0,0.0,0,,0,
171,9760,-4.0,0.0,0.0,0,,0,
172,9760,-4.0,0.0,0.0,0,,0,
173,9760,-5.0,0.0,0.0,0,,0,
174,9760,-5.0,0.0,0.0,0,,0,
175,9760,-5.0,0.0,0.0,0,,0,
176,9760,-4.0,0.0,0.0,0,,0,
177,9760,-5.0,0.0,0.0,0,,0,
178,9760,-5.0,0.0,0.0,0,,0,
179,9760,-4.0,0.0,0.0,0,,0,
180,9760,-4.0,0.0,0.0,0,,0,
181,9760,-5.0,0.0,0.0,0,,0,
182,9760,-4.0,0.0,0.0,0,,0,
183,9760,-5.0,0.0,0.0,0,,0,
184,9760,-5.0,0.0,0.0,0,,0,
185,9760,-5.0,0.0,0.0,0,,0,
186,9760,-5.0,0.0,0.0,0,,0,
187,9760,-4.0,0.0,0.0,0,,0,
188,9760,-5.0,0.0,0.0,0,,0,
189,9760,-5.0,0.0,0.0,0,,0,
190,9760,-4.0,0.0,0.0,0,,0,
191,9760,-5.0,0.0,0.0,0,,0,
192,9760,-5.0,0.0,0.0,0,,0,
193,9984,-5.0,0.0,0.0,0,,0,
194,10016,-5.0,0.0,0.0,0,,0,
195,10048,-4.0,0.0,0.0,0,,0,
196,10176,-5.0,0.0,0.0,0,,0,
197,10304,-5.0,0.0,0.0,0,,0,
198,11008,-5.0,0.0,0.0,0,,0,
199,11200,-5.0,0.0,0.0,0,,0,
200,11264,-5.0,0.0,0.0,0,,0,
201,11392,-5.0,0.0,0.0,0,,0,
202,11392,-5.0,0.0,0.0,0,,0,
203,11392,-5.0,0.0,0.0,0,,0,
204,11392,-5.0,0.0,0.0,0,,0,
205,11392,-5.0,0.0,0.0,0,,0,
206,11392,-4.0,0.0,0.0,0,,0,
207,11392,-4.0,0.0,0.0,0,,0,
208,11392,-5.0,0.0,0.0,0,,0,
209,11392,-5.0,0.0,0.0,0,,0,
210,11392,-5.0,0.0,0.0,0,,0,
211,11392,-5.0,0.0,0.0,0,,0,
212,11392,-5.0,0.0,0.0,0,,0,
213,11392,-5.0,0.0,0.0,0,,0,
214,11392,-5.0,0.0,0.0,0,,0,
215,11392,-5.0,0.0,0.0,0,,0,
216,11392,-5.0,0.0,0.0,0,,0,
217,11392,-5.0,0.0,0.0,0,,0,
218,11392,-4.0,0.0,0.0,0,,0,
219,11392,-5.0,0.0,0.0,0,,0,
220,11392,-5.0,0.0,0.0,0,,0,
221,11392,-4.0,0.0,0.0,0,,0,
222,11392,-5.0,0.0,0.0,0,,0,
223,11392,-5.0,0.0,0.0,0,,0,
224,11392,-5.0,0.0,0.0,0,,0,
225,11616,-5.0,0.0,0.0,0,,0,
226,11648,-5.0,0.0,0.0,0,,0,
227,11680,-5.0,0.0,0.0,0,,0,
228,11808,-5.0,0.0,0.0,0,,0,
229,11936,-4.0,0.0,0.0,0,,0,
230,12640,-4.0,0.0,0.0,0,,0,
231,12832,-4.0,0.0,0.0,0,,0,
232,12896,-5.0,0.0,0.0,0,,0,
233,13024,-5.0,0.0,0.0,0,,0,
234,13024,-5.0,0.0,0.0,0,,0,
235,13024,-5.0,0.0,0.0,0,,0,
236,13024,-5.0,0.0,0.0,0,,0,
237,13024,-4.0,0.0,0.0,0,,0,
238,13024,-5.0,0.0,0.0,0,,0,
239,13024,-4.0,0.0,0.0,0,,0,
240,13024,-5.0,0.0,0.0,0,,0,
241,13024,-5.0,0.0,0.0,0,,0,
242,13024,-5.0,0.0,0.0,0,,0,
243,13024,-4.0,0.0,0.0,0,,0,
244,13024,-4.0,0.0,0.0,0,,0,
245,13024,-4.0,0.0,0.0,0,,0,
246,13024,-4.0,0.0,0.0,0,,0,
247,13024,-4.0,0.0,0.0,0,,0,
248,13024,-5.0,0.0,0.0,0,,0,
249,13024,-4.0,0.0,0.0,0,,0,
250,13024,-5.0,0.0,0.0,0,,0,
251,13024,-5.0,0.0,0.0,0,,0,
252,13024,-5.0,0.0,0.0,0,,0,
253,13024,-5.0,0.0,0.0,0,,0,
254,13024,-5.0,0.0,0.0,0,,0,
255,13024,-4.0,0.0,0.0,0,,0,
256,13024,-5.0,0.0,0.0,0,,0,
257,13248,-5.0,0.0,0.0,0,,0,
258,13280,-5.0,0.0,0.0,0,,0,
259,13312,-5.0,0.0,0.0,0,,0,
260,13440,-4.0,0.0,0.0,0,,0,
261,13568,-5.0,0.0,0.0,0,,0,
262,14272,-5.0,0.0,0.0,0,,0,
263,14304,8.1,1.0,0.0,0,,0,
264,14464,-5.0,0.0,0.0,0,,0,
265,14528,-5.0,0.0,0.0,0,,0,
266,14656,-4.0,0.0,0.0,0,,0,
267,14656,-5.0,0.0,0.0,0,,0,
268,14656,-5.0,0.0,0.0,0,,0,
269,14656,-5.0,0.0,0.0,0,,0,
270,14656,-5.0,0.0,0.0,0,,0,
271,14656,-5.0,0.0,0.0,0,,0,
272,14656,-5.0,0.0,0.0,0,,0,
273,14656,-5.0,0.0,0.0,0,,0,
274,14656,-5.0,0.0,0.0,0,,0,
275,14656,-4.0,0.0,0.0,0,,0,
276,14656,-5.0,0.0,0.0,0,,0,
277,14656,-5.0,0.0,0.0,0,,0,
278,14656,-5.0,0.0,0.0,0,,0,
279,14656,-4.0,0.0,0.0,0,,0,
280,14656,-5.0,0.0,0.0,0,,0,
281,14656,-5.0,0.0,0.0,0,,0,
282,14656,-5.0,0.0,0.0,0,,0,
283,14656,-4.0,0.0,0.0,0,,0,
284,14656,-5.0,0.0,0.0,0,,0,
285,14656,-5.0,0.0,0.0,0,,0,
286,14656,-5.0,0.0,0.0,0,,0,
287,14656,-5.0,0.0,0.0,0,,0,
288,14656,-5.0,0.0,0.0,0,,0,
289,14784,11.7,1.0,0.0,0,,0,
290,14784,7.4,1.0,0.0,0,,0,
291,14880,-4.0,0.0,0.0,0,,0,
292,14944,-5.0,0.0,0.0,0,,0,
293,15072,-5.0,0.0,0.0,0,,0,
294,15072,10.8,1.0,0.0,0,,0,
295,15136,10.6,1.0,0.0,0,,0,
296,15200,-5.0,0.0,0.0,0,,0,
297,15328,11.5,1.0,0.0,0,,0,
298,15904,-4.0,0.0,0.0,0,,0,
299,15936,-5.0,0.0,0.0,0,,0,
300,16096,-5.0,0.0,0.0,0,,0,
301,16096,7.6,1.0,0.0,0,,0,
302,16128,7.5,1.0,0.0,0,,0,
303,16160,-4.0,0.0,0.0,0,,0,
304,16288,-5.0,0.0,0.0,0,,0,
305,16288,-5.0,0.0,0.0,0,,0,
306,16288,-5.0,0.0,0.0,0,,0,
307,16288,-5.0,0.0,0.0,0,,0,
308,16288,-5.0,0.0,0.0,0,,0,
309,16288,-5.0,0.0,0.0,0,,0,
310,16288,-5.0,0.0,0.0,0,,0,
311,16288,-4.0,0.0,0.0,0,,0,
312,16288,-5.0,0.0,0.0,0,,0,
313,16288,-5.0,0.0,0.0,0,,0,
314,16288,-5.0,0.0,0.0,0,,0,
315,16288,-5.0,0.0,0.0,0,,0,
316,16288,-5.0,0.0,0.0,0,,0,
317,16288,-5.0,0.0,0.0,0,,0,
318,16288,-5.0,0.0,0.0,0,,0,
319,16288,-5.0,0.0,0.0,0,,0,
320,16288,-5.0,0.0,0.0,0,,0,
321,16288,-5.0,0.0,0.0,0,,0,
322,16416,-5.0,0.0,0.0,0,,0,
323,16416,-4.0,0.0,0.0,0,,0,
324,16512,-4.0,0.0,0.0,0,,0,
325,16576,-5.0,0.0,0.0,0,,0,
326,16704,-4.0,0.0,0.0,0,,0,
327,16704,-5.0,0.0,0.0,0,,0,
328,16704,10.8,1.0,0.0,0,,0,
329,16832,-5.0,0.0,0.0,0,,0,
330,16960,-5.0,0.0,0.0,0,,0,
331,17056,9.2,1.0,0.0,0,,0,
332,17536,-5.0,0.0,0.0,0,,0,
333,17568,-5.0,0.0,0.0,0,,0,
334,17696,7.7,1.0,0.0,0,,0,
335,17728,-5.0,0.0,0.0,0,,0,
336,17728,-4.0,0.0,0.0,0,,0,
337,17792,-5.0,0.0,0.0,0,,0,
338,17920,-4.0,0.0,0.0,0,,0,
339,17920,-5.0,0.0,0.0,0,,0,
340,17920,-5.0,0.0,0.0,0,,0,
341,17920,-5.0,0.0,0.0,0,,0,
342,17920,-5.0,0.0,0.0,0,,0,
343,17920,-5.0,0.0,0.0,0,,0,
344,17920,-4.0,0.0,0.0,0,,0,
345,17920,-5.0,0.0,0.0,0,,0,
346,17920,-5.0,0.0,0.0,0,,0,
