episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,664,1.8833,1.0,18.07,15,0.0,0.0,95,
2,864,1.8481,1.0,17.59,19,0.0,0.2105,125,
3,1184,1.7919,1.0,18.92,28,0.0,0.1429,172,
4,1360,1.7609,1.0,15.29,26,0.0,0.0385,194,
5,2352,1.827,1.0,16.94,21,0.0,0.0,330,
6,2512,1.5584,1.0,14.01,44,0.0,0.0,357,
7,2624,1.5388,1.0,14.33,47,0.0,0.0,372,
8,2640,1.6892,1.0,11.26,25,0.0,0.0,376,
9,2744,1.6358,1.0,15.77,41,0.0,0.0,393,
10,2960,1.6892,1.0,10.36,23,0.0,0.0,418,
11,2976,1.4769,1.0,12.63,47,0.0,0.0426,420,
12,3400,1.8453,1.0,19.82,22,0.0,0.0,492,
13,3712,1.7623,1.0,16.47,28,0.0,0.0,539,
14,4104,1.8003,1.0,16.78,24,0.0,0.0,618,
15,4104,1.8031,1.0,17.02,24,0.0,0.0,618,
16,4152,1.2702,1.0,13.29,69,0.0,0.0145,634,
17,4520,1.8045,1.0,21.43,30,0.0,0.2667,703,
18,4624,1.6527,1.0,19.76,49,0.0,0.0612,724,
19,4792,1.8805,1.0,24.42,21,0.0,0.381,757,
20,4816,1.6161,1.0,17.15,47,0.0,0.1489,761,
21,4880,1.7961,1.0,22.6,33,0.0,0.3939,776,
22,4968,1.6105,1.0,17.63,49,0.0,0.1633,798,
23,5168,1.8228,1.0,18.11,23,0.0,0.5217,840,
24,5264,1.9339,1.0,27.08,13,0.0,0.3846,864,
25,5328,1.9114,1.0,25.0,16,0.0,0.4375,881,
26,5416,1.7708,1.0,18.9,31,0.0,0.3871,899,
27,5432,1.8594,1.0,20.79,21,0.0,0.3333,904,
28,5496,1.8298,1.0,22.95,28,0.0,0.3571,917,
29,5560,1.9494,1.0,24.32,9,0.0,0.3333,933,
30,5632,1.9198,1.0,25.86,15,0.0,0.3333,946,
31,5728,1.8369,1.0,23.93,28,0.0,0.3214,966,
32,5968,1.9297,1.0,31.37,16,0.0,0.5,1030,
33,5992,1.903,1.0,21.43,15,0.0,0.4,1037,
34,6000,1.82,1.0,17.83,23,0.0,0.2174,1038,
35,6008,1.8973,1.0,28.38,21,0.0,0.5714,1041,
36,6288,1.8327,1.0,25.0,30,0.0,0.2333,1114,
37,6448,1.8341,1.0,21.85,26,0.0,0.3077,1142,
38,6688,1.8791,1.0,25.29,22,0.0,0.5909,1196,
39,6880,1.8481,1.0,26.61,29,0.0,0.3793,1241,
40,6952,1.8284,1.0,23.58,29,0.0,0.3448,1256,
41,7008,1.7595,1.0,24.42,42,0.0,0.4048,1269,
42,7192,1.8425,1.0,16.81,19,0.0,0.4211,1316,
43,7280,1.7764,1.0,19.38,31,0.0,0.5161,1337,
44,7296,1.8523,1.0,30.19,32,0.0,0.625,1342,
45,7544,1.8509,1.0,29.91,32,0.0,0.4688,1418,
46,7616,1.8945,1.0,26.32,20,0.0,0.25,1435,
47,7648,1.8791,1.0,31.03,27,0.0,0.2963,1444,
48,7720,1.8538,1.0,25.71,27,0.0,0.5926,1466,
49,7720,1.9269,1.0,28.3,15,0.0,0.5333,1466,
50,7776,1.9142,1.0,25.81,16,0.0,0.5625,1482,
51,7800,1.6372,1.0,21.24,55,0.0,0.2727,1489,
52,7800,1.8945,1.0,30.26,23,0.0,0.4783,1489,
53,8144,1.9409,1.0,27.91,12,0.0,0.3333,1574,
54,8248,1.9086,1.0,28.79,19,0.0,0.5789,1609,
55,8336,1.8622,1.0,24.24,24,0.0,0.5417,1636,
56,8352,1.8903,1.0,22.78,18,0.0,0.4444,1640,
57,8368,1.8748,1.0,32.22,29,0.0,0.6552,1645,
58,8424,1.8917,1.0,28.21,22,0.0,0.6364,1661,
59,8472,1.8509,1.0,31.78,34,0.0,0.4118,1678,
60,8544,1.8664,1.0,20.83,20,0.0,0.2,1695,
61,8616,1.9367,1.0,32.61,15,0.0,0.4667,1717,
62,8632,1.9156,1.0,26.23,16,0.0,0.375,1718,
63,8712,1.9381,1.0,28.89,13,0.0,0.5385,1748,
64,8840,1.9283,1.0,40.38,21,0.0,0.5714,1790,
65,8840,1.9128,1.0,22.22,14,0.0,0.3571,1790,
66,8864,1.9325,1.0,42.86,21,0.0,0.5714,1800,
67,8904,1.9381,1.0,35.56,16,0.0,0.4375,1811,
68,8936,1.9016,1.0,33.8,24,0.0,0.4583,1821,
69,8960,1.9409,1.0,25.58,11,0.0,0.4545,1829,
70,9088,1.9353,1.0,31.91,15,0.0,0.6,1866,
71,9168,1.9072,1.0,25.37,17,0.0,0.3529,1888,
72,9200,1.9381,1.0,35.56,16,0.0,0.5,1898,
73,9304,1.9367,1.0,32.61,15,0.0,0.6,1929,
74,9320,1.9381,1.0,37.78,17,0.0,0.4118,1934,
75,9376,1.9184,1.0,30.51,18,0.0,0.4444,1961,
76,9384,1.9634,1.0,48.15,13,0.0,0.5385,1966,
77,9568,1.8777,1.0,30.68,27,0.0,0.3704,2032,
78,9576,1.9156,1.0,36.07,22,0.0,0.3636,2034,
79,9640,1.9452,1.0,27.5,11,0.0,0.3636,2062,
80,9648,1.955,1.0,51.52,17,0.0,0.4118,2063,
81,9656,1.858,1.0,27.45,28,0.0,0.4286,2064,
82,9760,1.903,1.0,38.57,27,0.0,0.3704,2108,
83,9816,1.9114,1.0,42.19,27,0.0,0.3704,2127,
84,9920,1.9536,1.0,44.12,15,0.0,0.4,2168,
85,9952,1.9353,1.0,31.91,15,0.0,0.6,2176,
86,10024,1.955,1.0,42.42,14,0.0,0.6429,2209,
87,10048,1.9297,1.0,39.22,20,0.0,0.5,2217,
88,10088,1.8762,1.0,29.21,26,0.0,0.5,2224,
89,10240,1.8987,1.0,43.84,32,0.0,0.5,2273,
90,10272,1.9395,1.0,38.64,17,0.0,0.7059,2291,
91,10392,1.9002,1.0,33.33,24,0.0,0.4167,2341,
92,10432,1.9339,1.0,35.42,17,0.0,0.4118,2356,
93,10472,1.91,1.0,47.69,31,0.0,0.4194,2372,
94,10544,1.91,1.0,32.31,21,0.0,0.4762,2396,
95,10696,1.948,1.0,42.11,16,0.0,0.3125,2454,
96,10704,1.9198,1.0,36.21,21,0.0,0.7143,2459,
97,10728,1.9213,1.0,36.84,21,0.0,0.4762,2469,
98,10760,1.9438,1.0,36.59,15,0.0,0.4667,2482,
99,10776,1.948,1.0,52.63,20,0.0,0.6,2490,
100,10872,1.7722,1.0,33.74,55,0.0,0.4727,2525,
101,10936,1.9606,1.0,48.28,14,0.0,0.5,2549,
102,10984,1.8439,1.0,34.82,39,0.0,0.4103,2566,
103,11000,1.9213,1.0,38.6,22,0.0,0.4091,2573,
104,11264,1.9128,1.0,36.51,23,0.0,0.5652,2674,
105,11288,1.9283,1.0,30.77,16,0.0,0.4375,2685,
106,11296,1.8959,1.0,38.67,29,0.0,0.4483,2690,
107,11312,1.9072,1.0,40.3,27,0.0,0.3333,2697,
108,11320,1.8973,1.0,35.14,26,0.0,0.5385,2700,
109,11408,1.9269,1.0,33.96,18,0.0,0.4444,2742,
110,11432,1.9142,1.0,41.94,26,0.0,0.5,2752,
111,11544,1.9578,1.0,41.94,13,0.0,0.5385,2796,
112,11584,1.8987,1.0,47.95,35,0.0,0.6571,2812,
113,11584,1.955,1.0,36.36,12,0.0,0.4167,2812,
114,11600,1.9508,1.0,50.0,18,0.0,0.4444,2816,
115,11608,1.9409,1.0,46.51,20,0.0,0.6,2819,
116,11720,1.9466,1.0,35.9,14,0.0,0.5,2867,
117,11736,1.9227,1.0,44.64,25,0.0,0.48,2875,
118,11856,1.9536,1.0,50.0,17,0.0,0.5882,2925,
119,11864,1.9522,1.0,54.29,19,0.0,0.5263,2929,
120,11896,1.9508,1.0,38.89,14,0.0,0.3571,2943,
121,11944,1.962,1.0,50.0,14,0.0,0.6429,2962,
122,12040,1.9691,1.0,43.48,10,0.0,0.6,3008,
123,12064,1.9198,1.0,36.21,21,0.0,0.6667,3015,
124,12104,1.9367,1.0,52.17,24,0.0,0.4583,3034,
125,12128,1.8987,1.0,34.25,25,0.0,0.4,3043,
126,12208,1.865,1.0,43.3,42,0.0,0.6905,3081,
127,12224,1.9381,1.0,40.0,18,0.0,0.5556,3089,
