episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,616,0.8017,1.0,11.69,9,0.0,0.1111,75,
2,976,0.5784,1.0,20.49,25,0.0,0.24,136,
3,1096,0.6073,1.0,14.6,20,0.0,0.2,149,
4,1792,0.395,1.0,12.95,29,0.0,0.3448,235,
5,2488,0.4967,1.0,14.94,26,0.0,0.4615,324,
6,2584,0.0958,1.0,13.93,45,0.0,0.2889,339,
7,2656,0.0431,1.0,14.76,49,0.0,0.1633,346,
8,2680,0.4519,1.0,11.74,25,0.0,0.24,351,
9,2736,0.1891,1.0,9.65,33,0.0,0.2727,358,
10,2776,0.2117,1.0,15.19,41,0.0,0.3171,364,
11,3000,0.6291,1.0,10.6,16,0.0,0.1875,414,
12,3176,0.76,1.0,23.08,15,0.0,0.7333,438,
13,3264,0.7687,1.0,17.81,13,0.0,0.5385,455,
14,3280,0.7391,1.0,16.09,14,0.0,0.4286,457,
15,3392,-0.1763,0.0,13.68,58,0.0,0.2414,480,
16,3448,0.6962,1.0,20.22,18,0.0,0.3889,488,
17,4264,0.4998,1.0,12.9,24,0.0,0.2083,608,
18,4424,0.6203,1.0,12.59,18,0.0,0.2778,636,
19,4704,0.5208,1.0,15.24,25,0.0,0.36,691,
20,5000,0.2298,1.0,16.8,42,0.0,0.3333,736,
21,5016,0.2734,1.0,19.18,42,0.0,0.3333,740,
22,5216,-0.0081,0.0,15.54,53,0.0,0.283,776,
23,5368,0.2839,1.0,15.83,38,0.0,0.2632,812,
24,5384,0.1033,1.0,18.48,51,0.0,0.4314,816,
25,5416,0.7883,1.0,26.92,14,0.0,0.4286,819,
26,5512,0.532,1.0,16.03,25,0.0,0.24,831,
27,5824,0.6494,1.0,20.79,21,0.0,0.2381,905,
28,6088,0.7302,1.0,23.61,17,0.0,0.3529,951,
29,6168,0.4241,1.0,17.49,32,0.0,0.2188,966,
30,6176,0.5527,1.0,23.33,28,0.0,0.4643,968,
31,6232,0.6623,1.0,17.92,19,0.0,0.2105,984,
32,6280,0.5911,1.0,21.93,25,0.0,0.32,996,
33,6552,0.5117,1.0,20.42,29,0.0,0.3793,1046,
34,6720,0.1378,1.0,16.03,46,0.0,0.2609,1091,
35,6792,0.6077,1.0,30.68,27,0.0,0.3333,1104,
36,6800,0.5398,1.0,23.77,29,0.0,0.5172,1105,
37,6928,0.6778,1.0,20.0,19,0.0,0.3158,1130,
38,6960,0.7219,1.0,18.82,16,0.0,0.375,1137,
39,7088,0.6809,1.0,15.89,17,0.0,0.3529,1165,
40,7184,0.8039,1.0,27.08,13,0.0,0.3846,1186,
41,7200,0.5514,1.0,21.09,27,0.0,0.3333,1190,
42,7416,0.6591,1.0,25.29,22,0.0,0.4545,1246,
43,7424,0.8292,1.0,43.33,13,0.0,0.5385,1248,
44,7432,0.6589,1.0,28.75,23,0.0,0.2609,1249,
45,7704,0.8108,1.0,38.89,14,0.0,0.5,1315,
46,7728,0.5147,1.0,19.05,28,0.0,0.2857,1325,
47,7760,0.723,1.0,25.71,18,0.0,0.5,1332,
48,7832,0.8097,1.0,23.53,12,0.0,0.5,1350,
49,7952,0.5695,1.0,25.93,28,0.0,0.3929,1382,
50,7960,0.8964,1.0,18.75,6,0.0,0.3333,1383,
51,8232,0.3822,1.0,23.93,39,0.0,0.3333,1446,
52,8296,0.7709,1.0,39.53,17,0.0,0.4118,1462,
53,8336,0.3795,1.0,22.09,38,0.0,0.2632,1479,
54,8400,0.6689,1.0,27.5,22,0.0,0.3636,1489,
55,8480,0.4972,1.0,24.43,32,0.0,0.3438,1515,
56,8592,0.8664,1.0,28.12,9,0.0,0.5556,1538,
57,8704,0.788,1.0,42.11,16,0.0,0.5625,1566,
58,8808,0.5616,1.0,18.52,25,0.0,0.44,1600,
59,8856,0.653,1.0,35.71,25,0.0,0.36,1614,
60,8872,0.7289,1.0,20.0,16,0.0,0.5,1620,
61,8952,0.557,1.0,21.77,27,0.0,0.3333,1631,
62,9032,0.7344,1.0,24.64,17,0.0,0.1176,1655,
63,9048,0.4777,1.0,20.39,31,0.0,0.1613,1661,
64,9200,0.7342,1.0,29.03,18,0.0,0.4444,1713,
65,9312,0.6548,1.0,24.44,22,0.0,0.3182,1747,
66,9328,0.7894,1.0,43.24,16,0.0,0.375,1751,
67,9328,0.67,1.0,36.92,24,0.0,0.5,1751,
68,9536,0.7556,1.0,26.23,16,0.0,0.4375,1813,
69,9544,0.6473,1.0,33.78,25,0.0,0.44,1817,
70,9552,0.6619,1.0,25.88,22,0.0,0.2727,1817,
71,9560,0.8406,1.0,41.38,12,0.0,0.4167,1820,
72,9744,0.7058,1.0,29.41,20,0.0,0.3,1878,
73,9776,0.7698,1.0,25.86,15,0.0,0.3333,1890,
74,9808,0.8164,1.0,43.75,14,0.0,0.5,1898,
75,9840,0.8194,1.0,35.14,13,0.0,0.5385,1912,
76,9992,0.8691,1.0,43.48,10,0.0,0.4,1961,
77,10024,0.7698,1.0,25.86,15,0.0,0.8,1975,
78,10032,0.5977,1.0,31.82,28,0.0,0.3571,1976,
79,10040,0.6628,1.0,39.68,25,0.0,0.44,1981,
80,10048,0.3119,1.0,32.21,48,0.0,0.3958,1985,
81,10136,0.7881,1.0,33.33,15,0.0,0.4667,2007,
82,10264,0.69,1.0,33.85,22,0.0,0.4091,2050,
83,10296,0.7412,1.0,31.58,18,0.0,0.3889,2059,
84,10360,0.7723,1.0,40.48,17,0.0,0.4706,2084,
85,10368,0.8306,1.0,44.83,13,0.0,0.4615,2087,
86,10368,0.7837,1.0,39.02,16,0.0,0.5,2087,
87,10480,0.8334,1.0,48.15,13,0.0,0.4615,2135,
88,10504,0.7214,1.0,29.69,19,0.0,0.4737,2143,
89,10592,0.673,1.0,32.86,23,0.0,0.3478,2178,
90,10616,0.8464,1.0,34.38,11,0.0,0.5455,2185,
91,10680,0.8166,1.0,33.33,13,0.0,0.4615,2210,
92,10712,0.6047,1.0,33.73,28,0.0,0.5357,2220,
93,10792,0.7069,1.0,41.51,22,0.0,0.5455,2257,
94,10832,0.8592,1.0,33.33,10,0.0,0.5,2274,
95,10840,0.8689,1.0,68.75,11,0.0,0.5455,2276,
96,10872,0.7367,1.0,43.48,20,0.0,0.6,2293,
97,10880,0.6787,1.0,30.14,22,0.0,0.2727,2296,
98,10896,0.7083,1.0,42.31,22,0.0,0.5455,2302,
99,10912,0.8306,1.0,44.83,13,0.0,0.4615,2312,
100,11016,0.7711,1.0,32.0,16,0.0,0.5,2369,
101,11024,0.8761,1.0,55.56,10,0.0,0.5,2371,
102,11032,0.8263,1.0,56.0,14,0.0,0.4286,2374,
103,11064,0.8177,1.0,62.5,15,0.0,0.6,2386,
104,11112,0.7352,1.0,52.5,21,0.0,0.619,2399,
105,11136,0.7894,1.0,43.24,16,0.0,0.4375,2405,
106,11272,0.7581,1.0,40.0,18,0.0,0.4444,2472,
107,11312,0.7494,1.0,54.05,20,0.0,0.7,2493,
108,11320,0.7808,1.0,47.22,17,0.0,0.5294,2496,
109,11320,0.7594,1.0,51.35,19,0.0,0.6316,2496,
110,11352,0.8134,1.0,55.56,15,0.0,0.4,2514,
111,11392,0.6642,1.0,40.32,25,0.0,0.6,2531,
112,11504,0.8291,1.0,60.87,14,0.0,0.5714,2582,
113,11544,0.8406,1.0,41.38,12,0.0,0.4167,2606,
114,11552,0.7722,1.0,51.43,18,0.0,0.4444,2608,
115,11600,0.8022,1.0,42.86,15,0.0,0.4,2635,
116,11600,0.8248,1.0,53.85,14,0.0,0.2857,2635,
117,11640,0.6286,1.0,42.42,28,0.0,0.3571,2657,
118,11640,0.6202,1.0,38.89,28,0.0,0.3214,2657,
119,11672,0.7552,1.0,47.5,19,0.0,0.5263,2673,
120,11712,0.8219,1.0,71.43,15,0.0,0.5333,2694,
121,11808,0.7764,1.0,56.25,18,0.0,0.7222,2741,
122,11808,0.788,1.0,42.11,16,0.0,0.5,2741,
123,11864,0.825,1.0,39.39,13,0.0,0.6154,2768,
124,11896,0.762,1.0,71.43,20,0.0,0.6,2786,
125,11936,0.7694,1.0,48.65,18,0.0,0.3889,2802,
126,11976,0.7053,1.0,48.94,23,0.0,0.5652,2828,
127,12008,0.8761,1.0,55.56,10,0.0,0.6,2846,
128,12040,0.7337,1.0,51.22,21,0.0,0.4762,2862,
129,12048,0.6897,1.0,47.06,24,0.0,0.4583,2867,
130,12056,0.7778,1.0,58.06,18,0.0,0.5,2869,
131,12088,0.8477,1.0,50.0,12,0.0,0.5833,2887,
132,12136,0.8233,1.0,75.0,15,0.0,0.6,2912,
133,12192,0.6639,1.0,56.25,27,0.0,0.5926,2936,
134,12264,0.7737,1.0,41.46,17,0.0,0.5294,2966,
135,12312,0.788,1.0,42.11,16,0.0,0.5,2994,
136,12320,0.7806,1.0,62.07,18,0.0,0.5556,2999,
137,12328,0.7736,1.0,52.94,18,0.0,0.5,3002,
138,12448,0.6511,1.0,56.0,28,0.0,0.5357,3074,
139,12464,0.7137,1.0,56.1,23,0.0,0.4783,3083,
140,12480,0.7141,1.0,38.18,21,0.0,0.4762,3090,
141,12528,0.8248,1.0,53.85,14,0.0,0.5714,3116,
142,12560,0.6567,1.0,60.87,28,0.0,0.7143,3137,
143,12624,0.7394,1.0,56.76,21,0.0,0.5238,3183,
144,12632,0.7067,1.0,50.0,23,0.0,0.3913,3189,
145,12632,0.8019,1.0,80.95,17,0.0,0.6471,3189,
146,12648,0.8063,1.0,64.0,16,0.0,0.75,3197,
147,12664,0.8575,1.0,70.59,12,0.0,0.6667,3208,
148,12696,0.8475,1.0,76.47,13,0.0,0.5385,3218,
149,12720,0.6797,1.0,49.02,25,0.0,0.48,3234,
150,12776,0.8161,1.0,88.89,16,0.0,0.625,3271,
151,12824,0.8005,1.0,77.27,17,0.0,0.5882,3300,
152,12832,0.8263,1.0,56.0,14,0.0,0.6429,3304,
153,12896,0.6683,1.0,50.0,26,0.0,0.4231,3340,
154,12944,0.7922,1.0,45.71,16,0.0,0.5,3371,
155,12944,0.7152,1.0,57.5,23,0.0,0.6522,3371,
156,12992,0.7194,1.0,62.16,23,0.0,0.4348,3401,
157,13008,0.7706,1.0,65.52,19,0.0,0.5789,3414,
158,13016,0.7494,1.0,54.05,20,0.0,0.5,3419,
159,13016,0.8703,1.0,73.33,11,0.0,0.5455,3419,
160,13048,0.802,1.0,57.14,16,0.0,0.5,3438,
161,13080,0.7778,1.0,58.06,18,0.0,0.3889,3456,
162,13144,0.8463,1.0,48.0,12,0.0,0.75,3489,
163,13176,0.8689,1.0,68.75,11,0.0,0.6364,3506,
164,13184,0.8077,1.0,66.67,16,0.0,0.5625,3511,
165,13232,0.7308,1.0,61.11,22,0.0,0.4545,3539,
166,13240,0.812,1.0,53.57,15,0.0,0.5333,3545,
167,13312,0.7906,1.0,58.62,17,0.0,0.6471,3595,
168,13320,0.7066,1.0,61.54,24,0.0,0.4583,3600,
169,13336,0.6952,1.0,62.5,25,0.0,0.6,3612,
170,13360,0.8205,1.0,68.18,15,0.0,0.5333,3632,
171,13368,0.8689,1.0,68.75,11,0.0,0.4545,3637,
172,13392,0.7878,1.0,54.84,17,0.0,0.5882,3650,
173,13416,0.8191,1.0,65.22,15,0.0,0.3333,3665,
174,13448,0.7436,1.0,61.76,21,0.0,0.7619,3688,
175,13472,0.8333,1.0,70.0,14,0.0,0.6429,3704,
176,13544,0.762,1.0,71.43,20,0.0,0.6,3757,
177,13560,0.8063,1.0,64.0,16,0.0,0.5,3769,
178,13560,0.7677,1.0,83.33,20,0.0,0.55,3769,
179,13576,0.7891,1.0,78.26,18,0.0,0.6667,3777,
180,13592,0.7464,1.0,65.62,21,0.0,0.5714,3788,
181,13632,0.8033,1.0,85.0,17,0.0,0.5882,3817,
182,13640,0.8177,1.0,62.5,15,0.0,0.6667,3822,
183,13680,0.705,1.0,75.76,25,0.0,0.72,3854,
184,13704,0.8761,1.0,55.56,10,0.0,0.6,3873,
185,13712,0.8347,1.0,73.68,14,0.0,0.6429,3880,
186,13728,0.8147,1.0,84.21,16,0.0,0.5,3893,
187,13752,0.7848,1.0,69.23,18,0.0,0.5556,3912,
188,13768,0.8005,1.0,77.27,17,0.0,0.5294,3919,
189,13832,0.8147,1.0,84.21,16,0.0,0.5625,3962,
190,13848,0.7734,1.0,70.37,19,0.0,0.5789,3974,
191,13848,0.7748,1.0,73.08,19,0.0,0.5789,3974,
192,13872,0.8533,1.0,60.0,12,0.0,0.5833,3986,
193,13904,0.8305,1.0,63.64,14,0.0,0.3571,4010,
194,13928,0.782,1.0,64.29,18,0.0,0.5556,4027,
195,13936,0.8191,1.0,65.22,15,0.0,0.5333,4033,
196,13968,0.8375,1.0,82.35,14,0.0,0.7143,4057,
197,13984,0.8034,1.0,59.26,16,0.0,0.375,4070,
198,14048,0.7762,1.0,76.0,19,0.0,0.5263,4115,
199,14048,0.8005,1.0,77.27,17,0.0,0.5294,4115,
200,14056,0.8048,1.0,61.54,16,0.0,0.5625,4121,
201,14064,0.7933,1.0,90.0,18,0.0,0.7222,4127,
202,14120,0.8091,1.0,69.57,16,0.0,0.5,4166,
203,14128,0.8233,1.0,75.0,15,0.0,0.4667,4170,
204,14144,0.8333,1.0,70.0,14,0.0,0.5714,4182,
205,14248,0.7977,1.0,70.83,17,0.0,0.5294,4251,
206,14248,0.7691,1.0,86.96,20,0.0,0.55,4251,
207,14280,0.7706,1.0,65.52,19,0.0,0.4737,4270,
208,14304,0.8005,1.0,77.27,17,0.0,0.5882,4285,
209,14320,0.6525,1.0,57.14,28,0.0,0.6071,4292,
210,14400,0.6795,1.0,59.09,26,0.0,0.5769,4353,
211,14424,0.8105,1.0,72.73,16,0.0,0.625,4370,
212,14432,0.6866,1.0,66.67,26,0.0,0.4615,4376,
213,14440,0.6994,1.0,67.57,25,0.0,0.44,4382,
214,14464,0.8361,1.0,77.78,14,0.0,0.5714,4399,
215,14480,0.7906,1.0,58.62,17,0.0,0.4706,4412,
216,14504,0.782,1.0,64.29,18,0.0,0.5,4427,
217,14512,0.7948,1.0,65.38,17,0.0,0.4706,4433,
218,14568,0.7919,1.0,85.71,18,0.0,0.6667,4475,
219,14592,0.8517,1.0,92.86,13,0.0,0.4615,4491,
220,14632,0.8219,1.0,71.43,15,0.0,0.6,4521,
221,14632,0.7877,1.0,75.0,18,0.0,0.6111,4521,
222,14680,0.7264,1.0,71.88,23,0.0,0.6522,4557,
223,14680,0.8319,1.0,66.67,14,0.0,0.7143,4557,
224,14688,0.7464,1.0,65.62,21,0.0,0.619,4562,
225,14696,0.7977,1.0,70.83,17,0.0,0.6471,4565,
226,14736,0.8461,1.0,72.22,13,0.0,0.6923,4594,
227,14744,0.8717,1.0,78.57,11,0.0,0.6364,4599,
228,14776,0.7648,1.0,76.92,20,0.0,0.75,4623,
229,14808,0.8205,1.0,68.18,15,0.0,0.8,4649,
230,14824,0.8561,1.0,66.67,12,0.0,0.6667,4663,
231,14856,0.9073,1.0,80.0,8,0.0,0.625,4685,
232,14872,0.8091,1.0,69.57,16,0.0,0.5625,4699,
233,14896,0.7762,1.0,76.0,19,0.0,0.6316,4718,
234,14912,0.7919,1.0,85.71,18,0.0,0.7222,4729,
235,14936,0.7562,1.0,84.0,21,0.0,0.7619,4747,
236,14944,0.695,1.0,78.79,26,0.0,0.5769,4753,
237,14944,0.8575,1.0,70.59,12,0.0,0.5,4753,
238,15016,0.8361,1.0,77.78,14,0.0,0.5,4809,
239,15032,0.7648,1.0,76.92,20,0.0,0.65,4820,
240,15080,0.8475,1.0,76.47,13,0.0,0.6154,4854,
