episode,global_step,ep_return,success,guided_pct,queries_per_ep,bc_loss,agreement_rate,cum_queries,first_unguided_success
1,5120,1.0,1.0,0.0,0,0.0,,0,1
2,5120,0.5,1.0,0.0,0,0.0,,0,
3,5120,0.5,1.0,0.0,0,0.0,,0,
4,5120,0.5,1.0,0.0,0,0.0,,0,
5,5120,1.0,1.0,0.0,0,0.0,,0,
6,5120,0.5,1.0,0.0,0,0.0,,0,
7,5120,0.5,1.0,0.0,0,0.0,,0,
8,5120,1.0,1.0,0.0,0,0.0,,0,
9,10248,0.5,1.0,0.0,0,0.0,,0,
10,10248,0.5,1.0,0.0,0,0.0,,0,
11,10248,0.5,1.0,0.0,0,0.0,,0,
12,10248,0.5,1.0,0.0,0,0.0,,0,
13,10248,1.0,1.0,0.0,0,0.0,,0,
14,10248,1.0,1.0,0.0,0,0.0,,0,
15,10248,1.0,1.0,0.0,0,0.0,,0,
16,10248,0.5,1.0,0.0,0,0.0,,0,
17,12520,1.602,1.0,0.0,0,0.0,,0,
18,14360,1.2786,1.0,0.0,0,0.0,,0,
19,14960,1.1731,1.0,0.0,0,0.0,,0,
20,15376,0.5,1.0,0.0,0,0.0,,0,
21,15376,0.5,1.0,0.0,0,0.0,,0,
22,15376,0.5,1.0,0.0,0,0.0,,0,
23,15376,1.0,1.0,0.0,0,0.0,,0,
24,15376,0.5,1.0,0.0,0,0.0,,0,
25,17648,1.0,1.0,0.0,0,0.0,,0,
26,17984,1.543,1.0,0.0,0,0.0,,0,
27,19488,0.5,1.0,0.0,0,0.0,,0,
28,20088,1.1,1.0,0.0,0,0.0,,0,
29,20504,0.5,1.0,0.0,0,0.0,,0,
30,20504,0.5,1.0,0.0,0,0.0,,0,
31,20504,0.5,1.0,0.0,0,0.0,,0,
32,20504,0.5,1.0,0.0,0,0.0,,0,
33,22776,0.5,1.0,0.0,0,0.0,,0,
34,23112,0.5,1.0,0.0,0,0.0,,0,
35,24616,0.5,1.0,0.0,0,0.0,,0,
36,25216,0.5,1.0,0.0,0,0.0,,0,
37,25632,0.5,1.0,0.0,0,0.0,,0,
38,25632,0.5,1.0,0.0,0,0.0,,0,
39,25632,1.0,1.0,0.0,0,0.0,,0,
40,25632,0.0,0.0,0.0,0,0.0,,0,
