=== Oracle gratuit | seed=1 ===
Run: oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229
  device=cuda, batch=1024, updates=488
  CSV → logs/oracle_free__MiniGrid-DoorKey-8x8-v0__seed1__1777317229.csv
  obs=(64, 64, 3), n_actions=8, query_action=7
  params=67,167,753
[   1/488] step=   1024 | ep=    1 | return= 0.837 | guided%= 12.1 | bc=0.0000 | cumQ=   108 | bc_coef=0.000 | sps=326
[  10/488] step=  10240 | ep=   63 | return= 0.776 | guided%= 25.4 | bc=0.0000 | cumQ=  1940 | bc_coef=0.000 | sps=466
[  20/488] step=  20480 | ep=  425 | return= 0.971 | guided%= 82.2 | bc=0.0000 | cumQ=  8436 | bc_coef=0.000 | sps=468
[  30/488] step=  30720 | ep=  974 | return= 0.976 | guided%= 90.5 | bc=0.0000 | cumQ= 17565 | bc_coef=0.000 | sps=465
[  40/488] step=  40960 | ep= 1536 | return= 0.977 | guided%= 93.1 | bc=0.0000 | cumQ= 27025 | bc_coef=0.000 | sps=463
[  50/488] step=  51200 | ep= 2109 | return= 0.976 | guided%= 89.8 | bc=0.0000 | cumQ= 36454 | bc_coef=0.000 | sps=462
[  60/488] step=  61440 | ep= 2641 | return= 0.976 | guided%= 93.2 | bc=0.0000 | cumQ= 45926 | bc_coef=0.000 | sps=461
[  70/488] step=  71680 | ep= 3199 | return= 0.975 | guided%= 90.6 | bc=0.0000 | cumQ= 55215 | bc_coef=0.000 | sps=461
[  80/488] step=  81920 | ep= 3746 | return= 0.975 | guided%= 91.3 | bc=0.0000 | cumQ= 64416 | bc_coef=0.000 | sps=460
[  90/488] step=  92160 | ep= 4311 | return= 0.976 | guided%= 88.8 | bc=0.0000 | cumQ= 73514 | bc_coef=0.000 | sps=460
[ 100/488] step= 102400 | ep= 4882 | return= 0.976 | guided%= 89.5 | bc=0.0000 | cumQ= 82672 | bc_coef=0.000 | sps=460
[ 110/488] step= 112640 | ep= 5451 | return= 0.975 | guided%= 89.3 | bc=0.0000 | cumQ= 91803 | bc_coef=0.000 | sps=460
[ 120/488] step= 122880 | ep= 5995 | return= 0.976 | guided%= 89.5 | bc=0.0000 | cumQ=100985 | bc_coef=0.000 | sps=460
[ 130/488] step= 133120 | ep= 6531 | return= 0.974 | guided%= 84.7 | bc=0.0000 | cumQ=109806 | bc_coef=0.000 | sps=460
[ 140/488] step= 143360 | ep= 7072 | return= 0.975 | guided%= 83.3 | bc=0.0000 | cumQ=118432 | bc_coef=0.000 | sps=460
[ 150/488] step= 153600 | ep= 7619 | return= 0.975 | guided%= 81.1 | bc=0.0000 | cumQ=126819 | bc_coef=0.000 | sps=460
[ 160/488] step= 163840 | ep= 8149 | return= 0.975 | guided%= 80.8 | bc=0.0000 | cumQ=135071 | bc_coef=0.000 | sps=460
[ 170/488] step= 174080 | ep= 8706 | return= 0.975 | guided%= 77.5 | bc=0.0000 | cumQ=143383 | bc_coef=0.000 | sps=460
[ 180/488] step= 184320 | ep= 9259 | return= 0.976 | guided%= 79.9 | bc=0.0000 | cumQ=151413 | bc_coef=0.000 | sps=460
[ 190/488] step= 194560 | ep= 9820 | return= 0.976 | guided%= 79.4 | bc=0.0000 | cumQ=159497 | bc_coef=0.000 | sps=460
[ 200/488] step= 204800 | ep=10381 | return= 0.976 | guided%= 76.7 | bc=0.0000 | cumQ=167516 | bc_coef=0.000 | sps=460
[ 210/488] step= 215040 | ep=10938 | return= 0.975 | guided%= 77.7 | bc=0.0000 | cumQ=175203 | bc_coef=0.000 | sps=460
[ 220/488] step= 225280 | ep=11491 | return= 0.976 | guided%= 77.5 | bc=0.0000 | cumQ=182988 | bc_coef=0.000 | sps=460
[ 230/488] step= 235520 | ep=12064 | return= 0.976 | guided%= 78.0 | bc=0.0000 | cumQ=191066 | bc_coef=0.000 | sps=460
[ 240/488] step= 245760 | ep=12625 | return= 0.976 | guided%= 76.2 | bc=0.0000 | cumQ=198783 | bc_coef=0.000 | sps=460
[ 250/488] step= 256000 | ep=13201 | return= 0.977 | guided%= 78.2 | bc=0.0000 | cumQ=206716 | bc_coef=0.000 | sps=460
[ 260/488] step= 266240 | ep=13767 | return= 0.975 | guided%= 81.7 | bc=0.0000 | cumQ=215031 | bc_coef=0.000 | sps=460
[ 270/488] step= 276480 | ep=14348 | return= 0.977 | guided%= 83.3 | bc=0.0000 | cumQ=223559 | bc_coef=0.000 | sps=460
[ 280/488] step= 286720 | ep=14910 | return= 0.976 | guided%= 84.6 | bc=0.0000 | cumQ=232257 | bc_coef=0.000 | sps=460
[ 290/488] step= 296960 | ep=15475 | return= 0.976 | guided%= 85.6 | bc=0.0000 | cumQ=240965 | bc_coef=0.000 | sps=460
[ 300/488] step= 307200 | ep=16047 | return= 0.976 | guided%= 84.5 | bc=0.0000 | cumQ=249631 | bc_coef=0.000 | sps=460
