episode,global_step,ep_return,success,guided_pct,queries_per_ep,agreement_rate,oracle_correct_rate,oracle_cost,cum_queries,first_unguided_success
1,384,-0.5,0.0,16.67,1,0.0,0.0,0.000768,45,
2,640,-1.9,0.0,10.0,1,0.0,0.0,0.00128,68,
3,768,-2.1008,0.0,16.67,2,0.0,0.5,0.001536,78,
4,768,-2.1014,0.0,25.0,3,0.0,0.6667,0.001536,78,
5,896,-2.3,0.0,7.14,1,0.0,0.0,0.001792,93,
6,896,-2.3003,0.0,14.29,2,0.0,0.5,0.001792,93,
7,960,-2.4,0.0,6.67,1,0.0,0.0,0.00192,99,
8,960,-2.4015,0.0,26.67,4,0.0,0.75,0.00192,99,
9,960,10.4981,1.0,6.67,1,0.0,1.0,0.00192,99,
10,1152,-2.7,0.0,5.56,1,0.0,0.0,0.002304,125,
11,1152,-2.7001,0.0,11.11,2,0.0,0.5,0.002304,125,
12,1152,10.1949,1.0,22.22,4,0.25,1.0,0.002304,125,
13,1280,-2.9064,0.0,25.0,5,0.2,0.8,0.00256,135,
14,1344,-3.0004,0.0,9.52,2,0.5,0.5,0.002688,140,
15,1408,-3.1009,0.0,9.09,2,0.0,0.5,0.002816,147,
16,1536,-3.3,0.0,4.17,1,0.0,0.0,0.003072,161,
17,1536,-2.0023,0.0,16.67,2,0.0,0.5,0.003072,161,
18,1664,-3.5047,0.0,11.54,3,0.3333,0.6667,0.003328,168,
19,1664,-1.6031,0.0,25.0,2,0.0,0.5,0.003328,168,
20,1728,-3.6006,0.0,7.41,2,0.0,0.5,0.003456,177,
21,1728,-2.6001,0.0,7.41,2,0.0,0.5,0.003456,177,
22,1856,-2.8052,0.0,13.79,4,0.0,0.75,0.003712,193,
23,1856,-3.8012,0.0,6.9,2,0.0,0.5,0.003712,193,
24,1984,-4.0014,0.0,9.68,3,0.0,0.6667,0.003968,208,
25,2048,8.7863,1.0,15.62,5,0.0,1.0,0.004096,210,
26,2112,8.6963,1.0,6.06,2,0.0,1.0,0.004224,214,
27,2112,-4.2022,0.0,6.06,2,0.0,0.5,0.004224,214,
28,2240,-2.2029,0.0,14.29,2,0.0,0.5,0.00448,229,
29,2240,8.495,1.0,5.71,2,0.0,1.0,0.00448,229,
30,2304,-1.9,0.0,4.76,1,0.0,0.0,0.004608,233,
31,2304,-3.5074,0.0,16.67,6,0.0,0.8333,0.004608,233,
32,2368,-1.9,0.0,9.09,1,0.0,0.0,0.004736,239,
33,2432,-4.7005,0.0,5.26,2,0.0,0.5,0.004864,246,
34,2560,-3.902,0.0,5.0,2,0.5,0.5,0.00512,262,
35,2752,-1.5051,0.0,28.57,2,0.0,0.5,0.005504,285,
36,2816,-5.3047,0.0,9.09,4,0.0,0.75,0.005632,291,
37,2880,-4.7136,0.0,12.82,5,0.0,0.8,0.00576,298,
38,2944,-4.5081,0.0,8.7,4,0.0,0.75,0.005888,302,
39,3008,-4.6045,0.0,6.38,3,0.3333,0.6667,0.006016,306,
40,3200,-5.0028,0.0,6.0,3,0.3333,1.0,0.0064,332,
41,3200,-5.0138,0.0,6.0,3,0.0,1.0,0.0064,332,
42,3200,-4.0278,0.0,16.0,8,0.0,1.0,0.0064,332,
43,3200,-5.0127,0.0,10.0,5,0.8,1.0,0.0064,332,
44,3200,-4.0312,0.0,16.0,8,0.25,1.0,0.0064,332,
45,3200,-5.0166,0.0,10.0,5,0.4,1.0,0.0064,332,
46,3200,-5.0095,0.0,6.0,3,0.0,1.0,0.0064,332,
47,3200,-5.0179,0.0,14.0,7,0.2857,1.0,0.0064,332,
48,3200,-4.0238,0.0,12.0,6,0.1667,1.0,0.0064,332,
49,3200,-5.0157,0.0,12.0,6,0.0,1.0,0.0064,332,
50,3200,-5.011,0.0,8.0,4,0.5,1.0,0.0064,332,
51,3200,-5.0073,0.0,4.0,2,0.5,1.0,0.0064,332,
52,3200,-5.0091,0.0,6.0,3,0.0,1.0,0.0064,332,
53,3200,-4.0161,0.0,8.0,4,0.0,1.0,0.0064,332,
54,3200,-4.0119,0.0,10.0,5,0.4,1.0,0.0064,332,
55,3200,-5.0141,0.0,10.0,5,0.0,1.0,0.0064,332,
56,3200,-4.0192,0.0,12.0,6,0.0,1.0,0.0064,332,
57,3200,-5.026,0.0,14.0,7,0.8571,1.0,0.0064,332,
58,3200,-5.0145,0.0,10.0,5,0.2,1.0,0.0064,332,
59,3200,-5.0102,0.0,6.0,3,0.0,1.0,0.0064,332,
60,3200,-5.002,0.0,6.0,3,0.0,1.0,0.0064,332,
61,3200,-4.0164,0.0,10.0,5,0.8,1.0,0.0064,332,
62,3200,-4.0147,0.0,10.0,5,0.4,1.0,0.0064,332,
63,3200,-4.0099,0.0,10.0,5,0.0,1.0,0.0064,332,
64,3200,-5.028,0.0,18.0,9,0.3333,1.0,0.0064,332,
65,3200,-4.022,0.0,12.0,6,0.1667,1.0,0.0064,332,
66,3200,-5.012,0.0,6.0,3,0.0,1.0,0.0064,332,
67,3200,-4.0256,0.0,16.0,8,0.125,1.0,0.0064,332,
68,3200,-4.023,0.0,14.0,7,0.2857,1.0,0.0064,332,
69,3200,-5.0118,0.0,8.0,4,0.0,1.0,0.0064,332,
70,3200,-5.0156,0.0,10.0,5,0.0,1.0,0.0064,332,
71,3200,-5.0159,0.0,10.0,5,0.2,1.0,0.0064,332,
72,3328,8.3676,1.0,18.92,7,0.4286,1.0,0.006656,340,
73,3328,-2.315,0.0,16.0,4,0.0,0.75,0.006656,340,
74,3776,-1.9054,0.0,9.52,2,0.0,0.5,0.007552,390,
75,3840,-5.0056,0.0,7.14,3,0.0,0.6667,0.00768,396,
76,3840,-3.5146,0.0,14.81,4,0.5,0.75,0.00768,396,
77,3904,-5.0257,0.0,7.84,4,0.75,1.0,0.007808,405,
78,4032,-2.1,0.0,7.69,1,0.0,0.0,0.008064,417,
